Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Rafael Alvarez*,21,110,445,391,54,114,20,2,4,38,19,8,45,51,.292,.364,.384,.747,150,5,1,5,3,8,,0,1998,Adv A,MIN
Papo Bolivar,19,126,523,489,59,129,15,2,5,45,14,11,29,104,.264,.306,.333,.639,163,14,1,3,1,1,,0,1998,Adv A,MIN
Joey Cranford,23,75,286,254,41,57,15,3,8,39,6,1,26,58,.224,.301,.402,.703,102,3,2,4,0,0,,0,1998,Adv A,MIN
Cleatus Davidson#,21,130,591,527,97,127,12,7,2,45,44,16,45,99,.241,.303,.302,.604,159,6,3,13,3,0,,1,1998,Adv A,MIN
Anthony Felston*,23,114,532,427,74,119,8,0,0,43,86,26,83,65,.279,.398,.297,.696,127,5,6,10,6,2,,0,1998,Adv A,MIN
Joe Fraser,23,34,124,101,25,27,3,1,3,13,3,1,15,12,.267,.372,.406,.778,41,2,3,3,2,1,,0,1998,Adv A,MIN
Shane Gunderson,24,42,180,149,25,40,12,2,5,20,3,2,23,42,.268,.375,.477,.852,71,1,3,4,1,1,,0,1998,Adv A,MIN
Steve Hacker,23,62,272,251,29,62,11,0,11,38,0,1,17,40,.247,.298,.422,.720,106,9,2,0,2,0,,0,1998,Adv A,MIN
Steve Huls,23,74,252,223,30,47,3,0,1,25,3,5,20,43,.211,.278,.238,.516,53,7,2,4,3,0,,0,1998,Adv A,MIN
Matt LeCroy,22,51,231,200,32,61,9,1,12,51,2,1,21,35,.305,.372,.540,.912,108,7,4,0,6,1,,1,1998,Adv A,MIN
Aaron Lough,21,1,5,4,2,2,0,0,1,1,0,0,1,1,.500,.600,1.250,1.850,5,0,0,0,0,0,,0,1998,Adv A,MIN
Chad Moeller,23,66,288,254,37,83,24,1,6,39,2,3,31,37,.327,.406,.500,.906,127,8,3,0,0,4,,1,1998,Adv A,MIN
Rick Moss*,22,41,188,160,18,50,7,0,1,19,0,0,24,17,.313,.412,.375,.787,60,3,3,1,0,0,,0,1998,Adv A,MIN
Kelcey Mucker*,23,21,78,71,11,24,6,0,2,9,1,0,5,10,.338,.397,.507,.904,36,1,2,0,0,0,,0,1998,Adv A,MIN
Tommy Peterman*,23,135,593,519,71,162,36,2,20,110,2,0,63,86,.312,.387,.505,.892,262,11,4,1,6,13,,0,1998,Adv A,MIN
Nelson Prada,22,41,141,133,11,32,6,0,1,11,0,0,4,21,.241,.279,.308,.587,41,5,3,1,0,0,,0,1998,Adv A,MIN
Luis Rivas,18,126,490,463,58,130,21,5,4,51,34,8,14,75,.281,.302,.374,.676,173,11,3,4,6,0,,1,1998,Adv A,MIN
Johnny Schroeder*,22,39,147,135,17,28,5,0,8,24,0,0,10,53,.207,.272,.422,.694,57,0,2,0,0,3,,0,1998,Adv A,MIN
Jeff Smith*,24,6,25,23,4,8,2,0,0,1,1,0,1,2,.348,.400,.435,.835,10,1,1,0,0,0,,0,1998,Adv A,MIN
Tony Stevens#,19,3,7,7,0,2,0,0,0,1,0,0,0,0,.286,.286,.286,.571,2,0,0,0,0,0,,0,1998,Adv A,MIN
Lateef Vaughn,22,22,65,59,9,17,2,1,0,8,2,3,3,12,.288,.328,.356,.684,21,0,1,1,1,0,,0,1998,Adv A,MIN
