Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Gordie Amerson*,21,6,21,19,2,4,1,0,0,1,0,1,1,4,.211,.286,.263,.549,5,0,1,0,0,0,,0,1998,Adv A,NYY
Brian August,22,22,72,63,7,10,1,0,0,1,1,0,6,16,.159,.239,.175,.414,11,4,1,1,1,0,,0,1998,Adv A,NYY
Brian Aylor*,24,17,60,56,8,15,4,0,2,6,4,0,2,23,.268,.305,.446,.752,25,1,1,1,0,1,,0,1998,Adv A,NYY
Rich Brown*,21,80,334,282,46,84,13,3,11,38,8,6,45,54,.298,.404,.482,.886,136,3,5,2,0,1,,0,1998,Adv A,NYY
Orlando Carey,22,10,31,25,5,4,0,0,0,1,3,0,2,7,.160,.222,.160,.382,4,1,0,4,0,0,,0,1998,Adv A,NYY
Tim Cossins,28,30,100,94,6,21,6,0,1,6,0,0,3,14,.223,.245,.319,.564,30,4,0,2,1,0,,0,1998,Adv A,NYY
Les Dennis,25,44,114,104,16,19,4,0,1,8,1,0,5,20,.183,.220,.250,.470,26,6,0,5,0,0,,0,1998,Adv A,NYY
Brad Elwood,22,3,4,3,1,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,1,0,0,1,0,0,,0,1998,Adv A,NYY
Scott Emmons,24,13,29,24,3,6,2,0,0,4,1,0,4,6,.250,.379,.333,.713,8,2,1,0,0,0,,0,1998,Adv A,NYY
Ken Harrell,23,18,32,32,3,4,1,0,0,3,2,1,0,8,.125,.125,.156,.281,5,0,0,0,0,0,,0,1998,Adv A,NYY
Rob Hinds,27,27,125,100,15,25,4,2,1,9,6,5,21,25,.250,.392,.360,.752,36,0,3,0,1,0,,0,1998,Adv A,NYY
Nick Johnson*,19,92,393,303,69,96,14,1,17,58,1,4,68,76,.317,.466,.538,1.004,163,5,19,0,3,3,,1,1998,Adv A,NYY
Aaron Jones*,22,11,41,37,2,8,2,0,0,4,0,0,4,12,.216,.293,.270,.563,10,0,0,0,0,0,,0,1998,Adv A,NYY
Ryan Kane,24,16,63,53,4,7,2,0,1,4,1,0,7,12,.132,.226,.226,.452,12,1,0,1,2,0,,0,1998,Adv A,NYY
David Keel*,25,27,128,107,18,35,3,0,3,16,3,1,18,18,.327,.430,.439,.869,47,3,2,0,1,1,,0,1998,Adv A,NYY
Eric Knowles,24,95,406,360,46,100,16,4,2,41,3,6,30,62,.278,.330,.361,.691,130,9,2,6,8,0,,0,1998,Adv A,NYY
Eric Kofler*,22,87,361,337,50,104,25,3,10,69,1,2,19,51,.309,.343,.490,.833,165,2,1,0,4,1,,0,1998,Adv A,NYY
Donny Leon#,21,100,418,385,54,112,24,1,10,59,0,0,23,64,.291,.341,.436,.777,168,9,7,1,2,1,,0,1998,Adv A,NYY
Jose Lobaton,24,33,140,130,21,33,4,1,4,15,4,1,4,32,.254,.285,.392,.677,51,2,2,3,1,0,,0,1998,Adv A,NYY
Gabby Martinez,24,44,175,166,26,53,8,1,5,24,21,6,5,20,.319,.351,.470,.820,78,5,3,1,0,2,,0,1998,Adv A,NYY
Donzell McDonald#,23,5,22,18,6,6,1,2,0,2,2,0,2,7,.333,.429,.611,1.040,11,0,1,1,0,0,,1,1998,Adv A,NYY
Mike Montilla#,24,10,20,16,2,2,1,0,0,0,0,0,4,6,.125,.300,.188,.488,3,1,0,0,0,0,,0,1998,Adv A,NYY
Jeremy Morris,23,124,502,445,69,134,25,1,13,72,11,3,48,96,.301,.366,.449,.815,200,8,1,2,6,1,,0,1998,Adv A,NYY
Paul Ottavinia*,25,57,193,174,25,44,13,3,5,28,2,0,14,20,.253,.301,.448,.749,78,3,0,0,5,2,,0,1998,Adv A,NYY
Felix Rodriguez,20,1,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,0,0,0,0,0,0,,0,1998,Adv A,NYY
Cody Samuel,24,47,178,154,27,52,15,0,6,32,0,0,20,44,.338,.421,.552,.973,85,7,3,0,1,2,,0,1998,Adv A,NYY
Derek Shumpert#,22,21,74,66,8,13,2,0,0,3,0,2,7,25,.197,.274,.227,.501,15,2,0,1,0,0,,0,1998,Adv A,NYY
Rod Smith#,22,86,379,327,57,80,15,2,6,35,40,14,39,70,.245,.332,.358,.690,117,5,5,6,2,1,,0,1998,Adv A,NYY
Luis Sojo,33,3,11,9,1,2,0,0,0,0,0,0,2,0,.222,.364,.222,.586,2,0,0,0,0,0,,1,1998,Adv A,NYY
Marcus Thames,21,122,495,457,62,130,18,3,11,59,13,6,24,78,.284,.328,.409,.737,187,5,8,1,5,1,,1,1998,Adv A,NYY
Vic Valencia,21,122,449,411,53,92,18,1,16,43,0,1,26,139,.224,.273,.389,.662,160,4,3,5,4,2,,0,1998,Adv A,NYY
Bernie Williams#,29,1,3,2,0,1,1,0,0,0,0,0,1,0,.500,.667,1.000,1.667,2,0,0,0,0,0,,1,1998,Adv A,NYY
