Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Derek Lowe,29,21,8,.724,2.58,32,32,0,1,1,0,219.2,166,65,63,12,48,0,127,12,0,5,854,177,3.34,0.974,6.8,0.5,2.0,5.2,2.65,1
SP,Pedro Martinez,30,20,4,.833,2.26,30,30,0,2,0,0,199.1,144,62,50,13,40,1,239,15,0,3,787,202,2.24,0.923,6.5,0.6,1.8,10.8,5.98,1
SP,John Burkett,37,13,8,.619,4.53,29,29,0,1,1,0,173.0,199,93,87,25,50,5,124,8,1,2,760,101,4.41,1.439,10.4,1.3,2.6,6.5,2.48,1
SP,Frank Castillo,33,6,15,.286,5.07,36,23,2,0,0,1,163.1,174,101,92,19,58,6,112,7,2,1,711,90,4.30,1.420,9.6,1.0,3.2,6.2,1.93,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Ugueth Urbina,28,1,6,.143,3.00,61,0,55,0,0,40,60.0,44,21,20,8,20,5,71,0,1,3,242,153,3.33,1.067,6.6,1.2,3.0,10.7,3.55,1
RP,Tim Wakefield,35,11,5,.688,2.81,45,15,10,0,0,3,163.1,121,57,51,15,51,2,134,9,2,5,657,162,3.62,1.053,6.7,0.8,2.8,7.4,2.63,1
RP,Casey Fossum*,24,5,4,.556,3.46,43,12,13,0,0,1,106.2,113,56,41,12,30,0,101,4,0,3,461,132,3.49,1.341,9.5,1.0,2.5,8.5,3.37,1
RP,Rolando Arrojo,36,4,3,.571,4.98,29,8,4,0,0,1,81.1,83,47,45,7,27,1,51,6,0,2,348,92,4.04,1.352,9.2,0.8,3.0,5.6,1.89,1
RP,Alan Embree*,32,1,2,.333,2.97,32,0,7,0,0,2,33.1,24,12,11,4,11,1,43,1,0,0,133,155,3.02,1.050,6.5,1.1,3.0,11.6,3.91,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Darren Oliver*,31,4,5,.444,4.66,14,9,0,1,1,0,58.0,70,30,30,7,27,0,32,6,0,1,258,98,5.13,1.672,10.9,1.1,4.2,5.0,1.19,1
,Willie Banks,33,2,1,.667,3.23,29,0,18,0,0,1,39.0,32,15,14,5,14,0,26,3,0,1,162,142,4.60,1.179,7.4,1.2,3.2,6.0,1.86,1
,Chris Haney*,33,0,0,,4.20,24,0,11,0,0,1,30.0,32,14,14,2,10,2,15,4,0,0,134,110,4.23,1.400,9.6,0.6,3.0,4.5,1.50,1
,Sun-Woo Kim,24,2,0,1.000,7.45,15,2,7,0,0,0,29.0,34,24,24,5,7,0,18,1,0,2,128,62,4.79,1.414,10.6,1.6,2.2,5.6,2.57,1
,Dustin Hermanson,29,1,1,.500,7.77,12,1,4,0,0,0,22.0,35,19,19,3,7,0,13,0,0,2,107,60,4.51,1.909,14.3,1.2,2.9,5.3,1.86,1
,Wayne Gomes,29,1,2,.333,4.64,20,0,8,0,0,1,21.1,20,11,11,2,12,2,15,3,0,0,99,100,4.88,1.500,8.4,0.8,5.1,6.3,1.25,1
,Rich Garces,31,0,1,.000,7.59,26,0,7,0,0,0,21.1,21,20,18,4,12,2,16,3,0,0,97,61,6.01,1.547,8.9,1.7,5.1,6.8,1.33,1
,Bob Howry,28,1,3,.250,5.00,20,0,9,0,0,0,18.0,22,15,10,2,4,2,14,2,0,1,83,93,3.85,1.444,11.0,1.0,2.0,7.0,3.50,1
,Josh Hancock,24,0,1,.000,3.68,3,1,2,0,0,0,7.1,5,3,3,1,2,0,6,0,0,0,28,129,3.92,0.955,6.1,1.2,2.5,7.4,3.00,1
,Team Totals,31.4,93,69,.574,3.75,162,162,157,5,3,51,1446.0,1339,665,603,146,430,29,1157,84,6,31,6049,122,3.74,1.223,8.3,0.9,2.7,7.2,2.69,1
,Rank in 14 AL teams,,5,9,,3,,,,13,2,3,5 ,1,3,3,4,2,,1,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
