Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
Elvis Luciano,19,1,0,1.000,5.35,25,0,9,0,0,0,33.2,36,20,20,4,24,1,27,3,0,4,159,1.782,9.6,1.1,6.4,7.2,1.13,1
Sean Reid-Foley,23,2,4,.333,4.26,9,6,0,0,0,0,31.2,33,20,15,5,21,0,28,2,0,3,150,1.705,9.4,1.4,6.0,8.0,1.33,1
Matt Shoemaker,32,3,0,1.000,1.57,5,5,0,0,0,0,28.2,16,7,5,3,9,0,24,1,0,1,108,0.872,5.0,0.9,2.8,7.5,2.67,1
Edwin Jackson,35,1,5,.167,11.12,8,5,0,0,0,0,28.1,49,41,35,12,13,0,19,2,0,3,144,2.188,15.6,3.8,4.1,6.0,1.46,1
T.J. Zeuch,23,1,2,.333,4.76,5,3,0,0,0,0,22.2,22,13,12,2,11,0,20,0,0,2,99,1.456,8.7,0.8,4.4,7.9,1.82,1
Ryan Tepera,31,0,2,.000,4.98,23,1,7,0,0,0,21.2,20,12,12,5,8,2,14,0,0,2,91,1.292,8.3,2.1,3.3,5.8,1.75,1
Jason Adam,27,3,0,1.000,2.91,23,0,2,0,0,0,21.2,15,8,7,1,10,1,18,3,2,1,91,1.154,6.2,0.4,4.2,7.5,1.80,1
Brock Stewart,27,4,0,1.000,8.31,10,0,0,0,0,0,21.2,28,21,20,9,6,0,16,3,0,1,103,1.569,11.6,3.7,2.5,6.6,2.67,1
Nick Kingham,27,3,1,.750,3.00,11,0,2,0,0,0,21.0,24,7,7,4,8,1,14,0,0,2,89,1.524,10.3,1.7,3.4,6.0,1.75,1
Buddy Boshers*,31,0,3,.000,4.05,28,1,6,0,0,0,20.0,20,10,9,3,10,0,26,1,0,2,91,1.500,9.0,1.4,4.5,11.7,2.60,1
David Phelps,32,0,0,,3.63,17,1,1,0,0,0,17.1,14,7,7,3,7,1,18,1,0,1,71,1.212,7.3,1.6,3.6,9.3,2.57,1
Zack Godley,29,1,0,1.000,3.94,6,0,1,0,0,0,16.0,15,7,7,2,7,0,12,1,0,0,69,1.375,8.4,1.1,3.9,6.8,1.71,1
Jordan Romano,26,0,2,.000,7.63,17,0,2,0,0,0,15.1,17,14,13,4,9,0,21,4,0,0,75,1.696,10.0,2.3,5.3,12.3,2.33,1
Javy Guerra,33,0,0,,3.86,11,0,6,0,0,1,14.0,12,6,6,1,5,1,15,1,0,0,59,1.214,7.7,0.6,3.2,9.6,3.00,1
Anthony Kay*,24,1,0,1.000,5.79,3,2,0,0,0,0,14.0,15,9,9,0,5,0,13,1,0,1,63,1.429,9.6,0.0,3.2,8.4,2.60,1
Neil Ramirez,30,0,0,,5.40,6,1,0,0,0,0,8.1,8,5,5,2,6,0,6,0,0,1,37,1.680,8.6,2.2,6.5,6.5,1.00,1
Ryan Borucki*,25,0,1,.000,10.80,2,2,0,0,0,0,6.2,15,10,8,2,6,0,6,0,0,0,40,3.150,20.3,2.7,8.1,8.1,1.00,1
Ryan Feierabend*,33,0,1,.000,11.12,2,1,1,1,0,0,5.2,11,7,7,2,1,0,4,0,0,1,29,2.118,17.5,3.2,1.6,6.4,4.00,1
Luke Maile,28,0,0,,0.00,2,0,2,0,0,0,2.0,1,0,0,0,0,0,3,1,0,0,8,0.500,4.5,0.0,0.0,13.5,,1
Jimmy Cordero,27,0,1,.000,6.75,1,0,1,0,0,0,1.1,2,1,1,1,0,0,0,0,0,0,5,1.500,13.5,6.8,0.0,0.0,,1
Ryan Dull,29,0,0,,6.75,1,0,1,0,0,0,1.1,1,1,1,1,0,0,3,0,0,0,5,0.750,6.8,6.8,0.0,20.3,,1
Zac Rosscup*,31,0,0,,27.00,2,0,0,0,0,0,1.0,3,4,3,0,2,0,2,0,0,0,8,5.000,27.0,0.0,18.0,18.0,1.00,1
Richard Urena,23,0,0,,36.00,1,0,1,0,0,0,1.0,4,4,4,1,1,0,0,0,0,0,8,5.000,36.0,9.0,9.0,0.0,0.00,1
Yennsy Diaz,22,0,0,,27.00,1,0,0,0,0,0,0.2,1,2,2,0,4,0,0,0,0,0,7,7.500,13.5,0.0,54.0,0.0,0.00,1
