year,exit,observed,pct
1,TRUE,TRUE,0.17008985879332478
1,TRUE,FALSE,0.36470446045755983
2,TRUE,TRUE,0.08857509627727857
2,TRUE,FALSE,3.4004468854283252e-18
3,TRUE,TRUE,0.03979460847240052
3,TRUE,FALSE,3.246325776693903e-62
4,TRUE,TRUE,0.008771929824561405
4,TRUE,FALSE,4.1514631965913114e-116
5,TRUE,TRUE,8.557980316645272e-4
5,TRUE,FALSE,7.921999427640745e-172
6,TRUE,TRUE,2.139495079161318e-4
6,TRUE,FALSE,7.927453956230218e-228
7,TRUE,TRUE,0
7,TRUE,FALSE,7.207225717676245e-284
8,TRUE,TRUE,0
8,TRUE,FALSE,0
9,TRUE,TRUE,0
9,TRUE,FALSE,0
10,TRUE,TRUE,0
10,TRUE,FALSE,0
1,FALSE,TRUE,0.5629011553273428
1,FALSE,FALSE,0.19769765065173858
2,FALSE,TRUE,0.09627727856225932
2,FALSE,FALSE,9.073708374854472e-18
3,FALSE,TRUE,0.026529738981600343
3,FALSE,FALSE,5.537500023113021e-61
4,FALSE,TRUE,0.004706889174154899
4,FALSE,FALSE,4.750714216907848e-114
5,FALSE,TRUE,6.418485237483954e-4
5,FALSE,FALSE,6.126974447690277e-169
6,FALSE,TRUE,4.278990158322636e-4
6,FALSE,FALSE,4.1483627108754597e-224
7,FALSE,TRUE,2.139495079161318e-4
7,FALSE,FALSE,2.5521933289891427e-279
8,FALSE,TRUE,0
8,FALSE,FALSE,0
9,FALSE,TRUE,0
9,FALSE,FALSE,0
10,FALSE,TRUE,0
10,FALSE,FALSE,0
