Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Peter Bourjos,22,110,504,437,72,123,16,14,6,51,32,12,49,77,.281,.354,.423,.778,185,7,3,10,5,1,,1
Nolan Brannon*,23,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
Patrick Breen*,27,34,124,96,16,19,2,0,2,6,3,2,23,34,.198,.379,.281,.660,27,1,5,0,0,1,,0
Jay Caligiuri,29,56,205,174,16,34,5,0,4,20,1,0,24,30,.195,.304,.293,.597,51,5,4,1,2,0,,0
Hank Conger#,21,123,525,459,61,135,20,3,11,68,3,2,55,68,.294,.368,.423,.790,194,19,2,3,6,5,,1
Ivan Contreras#,22,54,158,142,16,37,4,1,0,9,4,3,10,30,.261,.312,.303,.615,43,4,1,4,1,0,,0
Branden Florence,31,46,181,166,22,50,9,0,1,13,1,2,10,24,.301,.359,.373,.733,62,5,5,0,0,0,,0
Chris Fox*,23,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
Chris Gutierrez,25,33,134,111,22,31,5,1,1,11,0,0,21,23,.279,.396,.369,.765,41,5,1,0,1,1,,0
Ben Johnson#,27,41,164,141,18,26,7,1,4,22,3,2,17,20,.184,.276,.333,.609,47,6,2,1,3,0,,0
Rian Kiniry*,22,1,5,4,2,2,1,0,0,0,0,0,0,0,.500,.500,.750,1.250,3,0,0,1,0,0,,0
Val Majewski*,28,36,150,131,18,31,4,1,4,18,4,1,15,21,.237,.327,.374,.701,49,7,3,0,1,1,,1
Jeremy Moore*,22,7,26,21,5,7,0,1,2,10,1,1,3,7,.333,.423,.714,1.137,15,0,1,0,1,0,,1
Ryan Mount*,22,84,330,305,36,77,16,0,4,31,5,7,20,64,.252,.301,.344,.645,105,11,2,1,2,2,,0
Abel Nieves,23,8,30,26,3,7,1,0,0,2,0,0,3,9,.269,.345,.308,.653,8,0,0,1,0,0,,0
Wilberto Ortiz,24,119,485,435,43,112,15,2,0,42,9,8,35,47,.257,.321,.301,.622,131,16,6,8,1,0,,0
Gary Patchett,30,2,8,6,2,2,0,0,0,0,0,1,2,3,.333,.500,.333,.833,2,0,0,0,0,0,,0
Kevin Ramos,23,8,21,19,0,5,0,0,0,2,0,1,1,5,.263,.300,.263,.563,5,0,0,1,0,0,,0
Coby Smith,28,116,508,450,68,118,18,3,8,47,41,12,37,55,.262,.325,.369,.694,166,6,6,13,2,0,,0
Hainley Statia#,23,111,426,375,46,91,21,2,1,43,14,3,34,34,.243,.308,.317,.625,119,10,2,13,2,0,,0
Ikko Sumi#,21,1,4,4,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0
Nate Sutton*,26,104,431,371,54,113,20,3,2,40,21,8,48,55,.305,.387,.391,.778,145,9,4,5,3,2,,0
Mark Trumbo,23,137,581,533,54,155,35,3,15,88,6,3,37,100,.291,.333,.452,.785,241,22,1,2,8,2,,1
Brian Walker*,23,19,69,60,4,16,2,0,0,7,0,0,6,21,.267,.348,.300,.648,18,2,2,0,1,0,,0
Flint Wipke,26,53,200,171,24,39,9,0,4,19,3,2,22,58,.228,.310,.351,.661,60,2,0,3,4,0,,0
25 Players,24.5,140,5271,4639,602,1230,210,35,69,550,151,70,472,785,.265,.337,.370,.707,1717,137,50,67,43,15,,0
