Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Jeff Locke*,28,9,8,.529,5.44,30,19,4,1,1,0,127.1,151,81,77,17,44,4,73,3,0,7,564,76,4.84,1.531,10.7,1.2,3.1,5.2,1.66,1
SP,Gerrit Cole,25,7,10,.412,3.88,21,21,0,1,0,0,116.0,131,57,50,7,36,3,98,6,1,5,506,107,3.33,1.440,10.2,0.5,2.8,7.6,2.72,1
SP,Francisco Liriano*,32,6,11,.353,5.46,21,21,0,0,0,0,113.2,115,76,69,19,69,1,116,7,0,8,523,76,5.28,1.619,9.1,1.5,5.5,9.2,1.68,1
SP,Jon Niese*,29,8,6,.571,4.91,23,18,2,0,0,0,110.0,132,63,60,21,38,2,76,3,0,9,491,84,5.36,1.545,10.8,1.7,3.1,6.2,2.00,1
SP,Jameson Taillon,24,5,4,.556,3.38,18,18,0,0,0,0,104.0,99,40,39,13,17,1,85,3,2,1,418,123,3.71,1.115,8.6,1.1,1.5,7.4,5.00,1
SP,Ryan Vogelsong,38,3,7,.300,4.81,24,14,2,0,0,0,82.1,80,51,44,11,40,2,61,4,0,4,366,86,5.00,1.457,8.7,1.2,4.4,6.7,1.53,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Mark Melancon,31,1,1,.500,1.51,45,0,39,0,0,30,41.2,31,10,7,2,9,0,38,1,0,1,163,276,2.67,0.960,6.7,0.4,1.9,8.2,4.22,1
RP,Juan Nicasio,29,10,7,.588,4.50,52,12,9,0,0,0,118.0,117,64,59,15,45,3,138,7,0,3,513,92,3.78,1.373,8.9,1.1,3.4,10.5,3.07,1
RP,Tony Watson*,31,2,5,.286,3.06,70,0,27,0,0,15,67.2,52,26,23,10,20,1,58,3,0,0,272,136,4.37,1.064,6.9,1.3,2.7,7.7,2.90,1
RP,Jared Hughes,30,1,1,.500,3.03,67,0,18,0,0,1,59.1,62,24,20,6,22,3,34,5,0,5,257,137,4.68,1.416,9.4,0.9,3.3,5.2,1.55,1
RP,Neftali Feliz,28,4,2,.667,3.52,62,0,6,0,0,2,53.2,40,21,21,10,21,1,61,1,0,3,218,118,4.52,1.137,6.7,1.7,3.5,10.2,2.90,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chad Kuhl,23,5,4,.556,4.20,14,14,0,0,0,0,70.2,73,34,33,7,20,0,53,4,0,2,301,99,3.95,1.316,9.3,0.9,2.5,6.8,2.65,1
,Ivan Nova,29,5,2,.714,3.06,11,11,0,3,0,0,64.2,68,27,22,4,3,0,52,3,0,3,263,136,2.62,1.098,9.5,0.6,0.4,7.2,17.33,1
,A.J. Schugel,27,2,2,.500,3.63,36,0,11,0,0,1,52.0,41,22,21,4,13,0,46,1,0,2,204,114,3.18,1.038,7.1,0.7,2.3,8.0,3.54,1
,Arquimedes Caminero,29,1,2,.333,3.51,39,0,9,0,0,1,41.0,46,17,16,4,22,0,32,4,0,1,187,119,4.76,1.659,10.1,0.9,4.8,7.0,1.45,1
,Steven Brault*,24,0,3,.000,4.86,8,7,0,0,0,0,33.1,45,26,18,5,17,1,29,2,0,1,166,86,5.07,1.860,12.2,1.4,4.6,7.8,1.71,1
,Felipe Vazquez*,24,1,3,.250,3.29,28,0,3,0,0,0,27.1,23,13,10,3,18,1,39,1,0,2,124,127,3.80,1.500,7.6,1.0,5.9,12.8,2.17,1
,Kyle Lobstein*,26,2,0,1.000,3.96,14,0,3,0,0,0,25.0,25,11,11,2,12,1,15,2,0,2,110,106,4.67,1.480,9.0,0.7,4.3,5.4,1.25,1
,Antonio Bastardo*,30,3,0,1.000,4.13,28,0,0,0,0,0,24.0,19,13,11,3,11,1,28,1,2,5,102,102,3.94,1.250,7.1,1.1,4.1,10.5,2.55,1
,Tyler Glasnow,22,0,2,.000,4.24,7,4,0,0,0,0,23.1,22,13,11,2,13,0,24,3,1,2,105,99,4.26,1.500,8.5,0.8,5.0,9.3,1.85,1
,Rob Scahill,29,0,0,,4.41,15,0,5,0,0,0,16.1,18,9,8,1,6,0,13,2,0,1,71,96,3.82,1.469,9.9,0.6,3.3,7.2,2.17,1
,Wilfredo Boscan,26,1,1,.500,6.46,6,1,2,0,0,0,15.1,15,11,11,2,7,0,8,0,1,1,67,66,5.17,1.435,8.8,1.2,4.1,4.7,1.14,1
,Trevor Williams,24,1,1,.500,7.82,7,1,1,0,0,0,12.2,19,13,11,4,5,0,11,0,0,0,61,54,6.70,1.895,13.5,2.8,3.6,7.8,2.20,1
,Wade LeBlanc*,31,1,0,1.000,0.75,8,0,4,0,0,1,12.0,7,3,1,0,2,0,10,0,0,0,44,568,1.98,0.750,5.3,0.0,1.5,7.5,5.00,1
,Drew Hutchison,25,0,0,,5.56,6,1,3,0,0,0,11.1,15,7,7,2,3,0,10,1,0,0,51,77,4.73,1.588,11.9,1.6,2.4,7.9,3.33,1
,Cory Luebke*,31,0,1,.000,9.35,9,0,5,0,0,0,8.2,15,9,9,2,11,2,9,1,0,0,53,46,8.22,3.000,15.6,2.1,11.4,9.3,0.82,1
,Zach Phillips*,29,0,0,,2.70,8,0,0,0,0,0,6.2,8,2,2,1,1,0,6,0,0,1,28,161,3.75,1.350,10.8,1.4,1.4,8.1,6.00,1
,Phil Coke*,33,0,0,,0.00,3,0,1,0,0,0,4.0,3,0,0,0,3,1,3,0,0,0,16,,3.90,1.500,6.8,0.0,6.8,6.8,1.00,1
,Jorge Rondon,28,0,0,,17.18,2,0,1,0,0,0,3.2,9,7,7,1,1,0,4,0,0,1,20,26,5.33,2.727,22.1,2.5,2.5,9.8,4.00,1
,Kelvin Marte*,28,0,0,,0.00,2,0,1,0,0,0,3.1,5,5,0,2,2,0,1,0,0,0,17,,12.15,2.100,13.5,5.4,5.4,2.7,0.50,1
,Erik Kratz,36,0,0,,0.00,1,0,1,0,0,0,1.0,2,0,0,0,0,0,1,0,0,0,5,,1.15,2.000,18.0,0.0,0.0,9.0,,1
,Curtis Partch,29,0,0,,40.50,2,0,0,0,0,0,0.2,2,3,3,0,2,0,0,0,0,1,6,16,12.15,6.000,27.0,0.0,27.0,0.0,0.00,1
