Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Yovani Gallardo,26,16,9,.640,3.66,33,33,0,0,0,0,204.0,185,86,83,26,81,3,204,0,0,5,860,112,3.94,1.304,8.2,1.1,3.6,9.0,2.52,1
SP,Randy Wolf*,35,3,10,.231,5.69,25,24,0,0,0,0,142.1,179,94,90,21,45,1,96,6,2,2,633,72,4.74,1.574,11.3,1.3,2.8,6.1,2.13,1
SP,Marco Estrada,28,5,7,.417,3.64,29,23,0,0,0,0,138.1,129,62,56,18,29,0,143,0,1,4,562,113,3.35,1.142,8.4,1.2,1.9,9.3,4.93,1
SP,Mike Fiers,27,9,10,.474,3.74,23,22,1,0,0,0,127.2,125,56,53,12,36,0,135,2,0,4,539,110,3.10,1.261,8.8,0.8,2.5,9.5,3.75,1
SP,Shaun Marcum,30,7,4,.636,3.70,21,21,0,0,0,0,124.0,116,57,51,16,41,2,109,4,2,3,527,111,4.10,1.266,8.4,1.2,3.0,7.9,2.66,1
SP,Zack Greinke,28,9,3,.750,3.44,21,21,0,0,0,0,123.0,120,49,47,7,28,0,122,0,0,4,504,120,2.53,1.203,8.8,0.5,2.0,8.9,4.36,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,John Axford,29,5,8,.385,4.67,75,0,54,0,0,35,69.1,61,42,36,10,39,2,93,2,0,10,310,88,4.06,1.442,7.9,1.3,5.1,12.1,2.38,1
RP,Francisco Rodriguez,30,2,7,.222,4.38,78,0,13,0,0,3,72.0,65,37,35,8,31,1,72,0,0,6,305,94,3.83,1.333,8.1,1.0,3.9,9.0,2.32,1
RP,Kameron Loe,30,6,5,.545,4.61,70,0,20,0,0,2,68.1,78,41,35,9,20,3,55,3,0,4,303,90,4.21,1.434,10.3,1.2,2.6,7.2,2.75,1
RP,Jose Veras,31,5,4,.556,3.63,72,0,17,0,0,1,67.0,61,29,27,5,40,1,79,2,0,1,300,114,3.59,1.507,8.2,0.7,5.4,10.6,1.98,1
RP,Manny Parra*,29,2,3,.400,5.06,62,0,8,0,0,0,58.2,62,39,33,3,35,2,61,3,0,6,273,82,3.62,1.653,9.5,0.5,5.4,9.4,1.74,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mark Rogers,26,3,1,.750,3.92,7,7,0,0,0,0,39.0,36,17,17,5,14,0,41,1,0,1,165,106,3.81,1.282,8.3,1.2,3.2,9.5,2.93,1
,Tim Dillard,28,0,2,.000,4.38,34,0,15,0,0,0,37.0,45,21,18,3,14,2,29,1,0,0,166,95,3.80,1.595,10.9,0.7,3.4,7.1,2.07,1
,Liván Hernández,37,3,0,1.000,7.68,26,0,9,0,0,0,36.1,44,31,31,10,8,0,29,1,0,2,156,54,5.82,1.431,10.9,2.5,2.0,7.2,3.63,1
,Jim Henderson,29,1,3,.250,3.52,36,0,6,0,0,3,30.2,26,12,12,1,13,0,45,1,0,1,131,118,1.95,1.272,7.6,0.3,3.8,13.2,3.46,1
,Wily Peralta,23,2,1,.667,2.48,6,5,1,0,0,0,29.0,24,8,8,0,11,0,23,0,0,1,113,168,2.65,1.207,7.4,0.0,3.4,7.1,2.09,1
,Tyler Thornburg,23,0,0,,4.50,8,3,3,0,0,0,22.0,24,11,11,8,7,0,20,1,0,1,95,93,7.10,1.409,9.8,3.3,2.9,8.2,2.86,1
,Brandon Kintzler,27,3,0,1.000,3.78,14,0,1,0,0,0,16.2,18,7,7,1,7,1,14,0,0,1,72,111,3.46,1.500,9.7,0.5,3.8,7.6,2.00,1
,Mike McClendon,27,0,0,,6.43,9,0,3,0,0,0,14.0,20,11,10,1,5,0,4,3,0,1,69,66,5.17,1.786,12.9,0.6,3.2,2.6,0.80,1
,Josh Stinson,24,0,0,,0.96,6,1,2,0,0,0,9.1,7,1,1,1,5,0,3,0,0,0,38,443,5.45,1.286,6.8,1.0,4.8,2.9,0.60,1
,Chris Narveson*,30,1,1,.500,7.00,2,2,0,0,0,0,9.0,10,8,7,2,4,0,5,0,0,0,41,61,6.21,1.556,10.0,2.0,4.0,5.0,1.25,1
,Vinnie Chulk,33,1,0,1.000,10.00,7,0,4,0,0,0,9.0,17,10,10,0,4,1,10,0,0,0,48,43,2.21,2.333,17.0,0.0,4.0,10.0,2.50,1
,Juan Perez*,33,0,1,.000,5.14,10,0,5,0,0,0,7.0,6,4,4,2,8,1,10,1,0,0,35,84,7.81,2.000,7.7,2.6,10.3,12.9,1.25,1
,Team Totals,28.9,83,79,.512,4.22,162,162,162,0,0,44,1453.2,1458,733,682,169,525,20,1402,31,5,57,6245,98,3.82,1.364,9.0,1.0,3.3,8.7,2.67,1
,Rank in 16 NL teams,,7,10,,13,,,,15,11,6,3 ,14,13,13,12,11,,1,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
