year,exit,observed,pct
1,TRUE,TRUE,0.019398848859518227
1,TRUE,FALSE,0.1275264493979157
2,TRUE,TRUE,0.13803027073118737
2,TRUE,FALSE,0.0826400271313824
3,TRUE,TRUE,0.09806011511404818
3,TRUE,FALSE,0.04839489047499427
4,TRUE,TRUE,0.04860370923044127
4,TRUE,FALSE,0.025020460896507724
5,TRUE,TRUE,0.019825197186101044
5,TRUE,FALSE,0.011229538274150762
6,TRUE,TRUE,0.008100618205073545
6,TRUE,FALSE,0.004336875446229143
7,TRUE,TRUE,0.0028778512044340225
7,TRUE,FALSE,0.0014400978174839494
8,TRUE,TRUE,0.0018119803879769773
8,TRUE,FALSE,4.136391454680199e-4
9,TRUE,TRUE,7.461095715199318e-4
9,TRUE,FALSE,1.039134761378247e-4
10,TRUE,TRUE,3.197612449371136e-4
10,TRUE,FALSE,2.3158234751115656e-5
1,FALSE,TRUE,0.03602643359624813
1,FALSE,FALSE,0.11280861586890409
2,FALSE,TRUE,0.30611809848646343
2,FALSE,FALSE,0.12080384156794684
3,FALSE,TRUE,0.17768066510338945
3,FALSE,FALSE,0.10842446559928917
4,FALSE,TRUE,0.07823491792794714
4,FALSE,FALSE,0.08102191418134626
5,FALSE,TRUE,0.03378810488168834
5,FALSE,FALSE,0.050346764746682184
6,FALSE,TRUE,0.01289703687913025
6,FALSE,FALSE,0.026128096758276886
7,FALSE,TRUE,0.006608399062033681
7,FALSE,FALSE,0.011431008439021444
8,FALSE,TRUE,0.005222767000639523
8,FALSE,FALSE,0.004273076122070221
9,FALSE,TRUE,0.0030910253677254316
9,FALSE,FALSE,0.001387101473210297
10,FALSE,TRUE,0.002558089959496909
10,FALSE,FALSE,3.979335394837964e-4
