Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Tanyon Sturtze,30,11,12,.478,4.42,39,27,6,0,0,1,195.1,200,98,96,23,79,0,110,9,0,11,837,100,4.80,1.428,9.2,1.1,3.6,5.1,1.39,1
SP,Paul Wilson,28,8,9,.471,4.88,37,24,6,0,0,0,151.1,165,94,82,21,52,2,119,13,0,7,674,91,4.57,1.434,9.8,1.2,3.1,7.1,2.29,1
SP,Ryan Rupe,26,5,12,.294,6.59,28,26,0,0,0,0,143.1,161,111,105,30,48,0,123,11,1,7,635,67,5.29,1.458,10.1,1.9,3.0,7.7,2.56,1
SP,Bryan Rekar,29,3,13,.188,5.89,25,25,0,0,0,0,140.2,167,104,92,21,45,2,87,6,1,6,630,76,4.84,1.507,10.7,1.3,2.9,5.6,1.93,1
SP,Albie Lopez,29,5,12,.294,5.34,20,20,0,1,1,0,124.2,152,87,74,16,51,1,67,4,1,1,567,83,4.97,1.628,11.0,1.2,3.7,4.8,1.31,1
SP,Joe Kennedy*,22,7,8,.467,4.44,20,20,0,0,0,0,117.2,122,63,58,16,34,0,78,3,1,5,498,100,4.43,1.326,9.3,1.2,2.6,6.0,2.29,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Esteban Yan,26,4,6,.400,3.90,54,0,51,0,0,22,62.1,64,34,27,7,11,1,64,5,0,5,264,114,3.23,1.203,9.2,1.0,1.6,9.2,5.82,1
RP,Doug Creek*,32,2,5,.286,4.31,66,0,16,0,0,0,62.2,51,34,30,7,49,5,66,4,0,4,279,104,4.93,1.596,7.3,1.0,7.0,9.5,1.35,1
RP,Travis Phelps,23,2,2,.500,3.48,49,0,15,0,0,5,62.0,53,30,24,6,24,1,54,3,1,2,268,128,3.87,1.242,7.7,0.9,3.5,7.8,2.25,1
RP,Victor Zambrano,25,6,2,.750,3.16,36,0,19,0,0,2,51.1,38,21,18,6,18,0,58,3,0,4,212,142,3.54,1.091,6.7,1.1,3.2,10.2,3.22,1
RP,Jesus Colome,23,2,3,.400,3.33,30,0,9,0,0,0,48.2,37,22,18,8,25,4,31,2,0,2,209,134,5.58,1.274,6.8,1.5,4.6,5.7,1.24,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nick Bierbrodt*,23,3,4,.429,4.55,11,11,0,0,0,0,61.1,71,38,31,11,27,1,56,4,0,3,281,98,5.07,1.598,10.4,1.6,4.0,8.2,2.07,1
,Jeff Wallace*,25,0,3,.000,3.40,29,1,9,0,0,0,50.1,43,26,19,4,37,0,38,1,1,3,225,131,4.84,1.589,7.7,0.7,6.6,6.8,1.03,1
,Rusty Meacham,33,1,3,.250,5.60,24,0,5,0,0,0,35.1,39,24,22,3,10,0,13,2,0,2,158,80,4.44,1.387,9.9,0.8,2.5,3.3,1.30,1
,Brian Rose,25,0,2,.000,8.85,7,3,2,0,0,0,20.1,31,20,20,4,12,0,11,0,0,7,101,51,6.29,2.115,13.7,1.8,5.3,4.9,0.92,1
,Mike Judd,26,1,0,1.000,4.05,8,2,2,0,0,0,20.0,19,14,9,2,10,0,11,1,0,0,90,111,4.90,1.450,8.6,0.9,4.5,5.0,1.10,1
,Jason Standridge,22,0,0,,4.66,9,1,6,0,0,0,19.1,19,10,10,5,14,1,9,0,0,0,87,97,7.65,1.707,8.8,2.3,6.5,4.2,0.64,1
,Dan Wheeler,23,1,0,1.000,8.66,13,0,3,0,0,0,17.2,30,17,17,3,5,0,12,0,1,1,87,52,4.75,1.981,15.3,1.5,2.5,6.1,2.40,1
,Bobby Seay*,23,1,1,.500,6.23,12,0,4,0,0,0,13.0,13,11,9,3,5,1,12,1,0,1,58,73,5.59,1.385,9.0,2.1,3.5,8.3,2.40,1
,Ken Hill,35,0,1,.000,12.27,5,0,1,0,0,0,7.1,10,11,10,4,5,2,2,1,0,2,38,38,12.05,2.045,12.3,4.9,6.1,2.5,0.40,1
,Travis Harper,25,0,2,.000,7.71,2,2,0,0,0,0,7.0,15,11,6,5,3,0,2,0,0,1,36,60,13.05,2.571,19.3,6.4,3.9,2.6,0.67,1
,Mickey Callaway,26,0,0,,7.20,2,0,2,0,0,0,5.0,3,4,4,2,2,0,2,0,0,0,20,66,8.65,1.000,5.4,3.6,3.6,3.6,1.00,1
,Ariel Prieto,31,0,0,,2.45,3,0,2,0,0,0,3.2,6,1,1,0,2,0,2,1,0,0,19,198,4.41,2.182,14.7,0.0,4.9,4.9,1.00,1
,Tony Fiore,29,0,0,,5.40,3,0,3,0,0,0,3.1,4,2,2,0,1,0,3,1,0,1,15,91,3.05,1.500,10.8,0.0,2.7,8.1,3.00,1
,Team Totals,26.9,62,100,.383,4.94,162,162,161,1,1,30,1423.2,1513,887,781,207,569,21,1030,75,7,75,6288,90,4.85,1.462,9.6,1.3,3.6,6.5,1.81,1
,Rank in 14 AL teams,,14,1,,12,,,,14,8,13,14 ,10,13,12,12,11,,7,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
