year,exit,observed,pct
1,TRUE,TRUE,0.010863267670915411
1,TRUE,FALSE,0.06487222493305955
2,TRUE,TRUE,0.01115295480880649
2,TRUE,FALSE,0.05541031581566479
3,TRUE,TRUE,0.014918887601390499
3,TRUE,FALSE,0.04681671475181676
4,TRUE,TRUE,0.029548088064889923
4,TRUE,FALSE,0.03906023708184547
5,TRUE,TRUE,0.056054461181923525
5,TRUE,FALSE,0.03212658571375876
6,TRUE,TRUE,0.06923522595596757
6,TRUE,FALSE,0.026008670882058486
7,TRUE,TRUE,0.07184241019698727
7,TRUE,FALSE,0.02069686351497142
8,TRUE,TRUE,0.06286210892236385
8,TRUE,FALSE,0.016170827533460785
9,TRUE,TRUE,0.04417728852838934
9,TRUE,FALSE,0.012394291441976523
10,TRUE,TRUE,0.025782155272305915
10,TRUE,FALSE,0.009313455841054676
1,FALSE,TRUE,0.003621089223638471
1,FALSE,FALSE,0.03187875959721674
2,FALSE,TRUE,0.00883545770567787
2,FALSE,FALSE,0.03634732723204545
3,FALSE,TRUE,0.02114716106604867
3,FALSE,FALSE,0.040257141342350505
4,FALSE,TRUE,0.053447276940903836
4,FALSE,FALSE,0.04328634142181186
5,FALSE,TRUE,0.09849362688296641
5,FALSE,FALSE,0.04516669515469004
6,FALSE,TRUE,0.11297798377752029
6,FALSE,FALSE,0.04572523109427559
7,FALSE,TRUE,0.09747972190034762
7,FALSE,FALSE,0.04491231868741073
8,FALSE,TRUE,0.08589223638470453
8,FALSE,FALSE,0.042809476699237986
9,FALSE,TRUE,0.07053881807647741
9,FALSE,FALSE,0.039615093040055026
10,FALSE,TRUE,0.051129779837775204
10,FALSE,FALSE,0.03561171209835268
