Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Jamie Arnold,24,9,4,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,3,0,0,,1,1998,AAA,ATL
Ray Beasley,21,2,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,,0,1998,AAA,ATL
Rafael Belliard,36,13,44,43,6,6,0,0,1,2,0,0,0,6,.140,.140,.209,.349,9,2,0,1,0,0,,1,1998,AAA,ATL
Pedro Borbon,30,20,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,,1,1998,AAA,ATL
Anthony Briggs,24,28,22,22,0,0,0,0,0,0,0,0,0,9,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,AAA,ATL
Travis Buckley,28,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,AAA,ATL
Jason Bullard,29,36,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,,0,1998,AAA,ATL
Adam Butler*,24,48,11,9,1,2,0,0,1,1,0,0,0,3,.222,.222,.556,.778,5,1,0,2,0,0,,1,1998,AAA,ATL
Paul Byrd,27,17,24,23,1,2,1,0,0,1,0,0,0,5,.087,.087,.130,.217,3,0,0,1,0,0,,1,1998,AAA,ATL
Ken Carlyle,27,30,21,20,0,1,0,0,0,0,0,0,1,8,.050,.095,.050,.145,1,0,0,0,0,0,,0,1998,AAA,ATL
Mike Cather,27,11,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1,1998,AAA,ATL
Bruce Chen*,21,4,3,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,0,0,0,1,0,0,,1,1998,AAA,ATL
David Cortes,24,29,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,,1,1998,AAA,ATL
Jim Dedrick#,30,26,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,,1,1998,AAA,ATL
Derrin Ebert,21,29,32,26,3,6,1,0,0,1,0,0,1,4,.231,.259,.269,.528,7,4,0,5,0,0,,1,1998,AAA,ATL
Marcus Hanel,26,29,97,85,9,18,3,0,0,7,0,0,11,23,.212,.299,.247,.546,21,0,0,0,1,2,,0,1998,AAA,ATL
Wes Helms,22,125,503,451,56,124,27,1,13,75,6,2,35,103,.275,.342,.426,.768,192,11,13,0,4,2,,1,1998,AAA,ATL
Ray Holbert,27,1,3,1,1,0,0,0,0,0,0,0,2,1,.000,.667,.000,.667,0,0,0,0,0,0,,1,1998,AAA,ATL
Rickey Holifield*,28,70,223,186,27,43,9,5,1,11,15,2,34,52,.231,.359,.349,.708,65,4,3,0,0,2,,0,1998,AAA,ATL
Damon Hollins,24,119,486,436,61,115,26,3,13,48,10,2,45,85,.264,.330,.427,.757,186,16,0,1,4,2,,1,1998,AAA,ATL
Ricky Magdaleno,23,73,275,249,32,73,11,1,5,29,1,3,23,63,.293,.350,.406,.756,101,3,0,1,2,1,,0,1998,AAA,ATL
Mike Mahoney,25,71,248,208,26,44,10,0,5,28,1,1,24,49,.212,.302,.332,.633,69,10,5,6,5,3,,1,1998,AAA,ATL
Marty Malloy*,26,124,548,483,75,140,25,3,7,54,20,7,51,65,.290,.361,.398,.758,192,12,5,5,4,2,,1,1998,AAA,ATL
Pablo Martinez#,29,15,38,36,3,10,1,0,0,3,1,2,2,10,.278,.316,.306,.621,11,0,0,0,0,0,,1,1998,AAA,ATL
Jose Mateo#,21,6,8,7,0,1,0,0,0,0,0,0,1,3,.143,.250,.143,.393,1,0,0,0,0,0,,0,1998,AAA,ATL
Greg Mix,26,28,17,14,2,1,0,0,0,0,0,0,1,6,.071,.133,.071,.205,1,0,0,2,0,0,,0,1998,AAA,ATL
Jose Olmeda#,30,111,408,373,41,101,17,3,4,34,7,7,29,55,.271,.324,.365,.689,136,7,2,1,3,1,,0,1998,AAA,ATL
Odalis Perez*,20,13,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,1,1998,AAA,ATL
Curtis Pride*,29,21,93,78,11,19,2,1,2,6,8,0,15,17,.244,.366,.372,.737,29,3,0,0,0,2,,1,1998,AAA,ATL
Jon Ratliff,26,29,24,18,2,1,0,0,0,1,0,0,0,7,.056,.056,.056,.111,1,1,0,6,0,0,,1,1998,AAA,ATL
John Rocker,23,9,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1,1998,AAA,ATL
Gene Schall,28,100,392,340,60,102,22,0,22,73,1,3,37,80,.300,.378,.559,.936,190,5,9,0,6,3,,1,1998,AAA,ATL
Randall Simon*,23,126,514,484,52,124,20,1,13,70,4,4,24,62,.256,.292,.382,.674,185,22,2,0,4,3,,1,1998,AAA,ATL
Fausto Tejero,29,77,250,223,19,50,14,0,4,26,1,2,21,48,.224,.297,.341,.638,76,6,3,1,2,2,,0,1998,AAA,ATL
Andy Tomberlin*,31,39,127,104,12,27,3,0,4,15,1,1,15,29,.260,.386,.404,.790,42,3,7,0,1,1,,1,1998,AAA,ATL
Paul Wagner,30,8,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1,1998,AAA,ATL
Mike Warner*,27,96,370,322,42,71,16,5,6,27,7,5,47,85,.220,.320,.357,.677,115,2,0,1,0,1,,0,1998,AAA,ATL
Gabe Whatley*,26,135,539,475,64,126,36,4,10,54,11,4,53,93,.265,.343,.421,.764,200,15,5,3,3,2,,0,1998,AAA,ATL
