Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Andy Abad*,25,111,445,365,71,112,18,1,16,66,10,6,68,70,.307,.415,.493,.908,180,7,3,4,5,2,,1,1998,AAA,BOS
Billy Ashley,27,63,256,218,40,59,12,0,14,51,1,0,35,72,.271,.371,.518,.889,113,5,1,0,2,0,,1,1998,AAA,BOS
Richie Borrero,25,6,18,17,3,3,0,0,0,0,0,0,1,5,.176,.222,.176,.399,3,1,0,0,0,0,,0,1998,AAA,BOS
Pat Bryant,25,75,302,259,43,58,8,1,8,26,13,5,33,63,.224,.319,.355,.674,92,5,5,1,4,0,,0,1998,AAA,BOS
Todd Carey*,26,28,89,83,10,17,4,0,4,10,2,0,5,13,.205,.247,.398,.645,33,1,0,0,1,0,,0,1998,AAA,BOS
Michael Coleman,22,93,379,340,47,86,13,0,14,37,12,9,27,92,.253,.322,.415,.737,141,4,8,3,1,0,,1,1998,AAA,BOS
Joe DePastino,24,9,34,33,1,8,1,0,0,4,1,1,0,8,.242,.265,.273,.537,9,1,1,0,0,0,,1,1998,AAA,BOS
Eddy Diaz,26,33,151,139,30,41,9,1,4,13,5,1,11,12,.295,.351,.460,.811,64,7,1,0,0,0,,1,1998,AAA,BOS
David Hulse*,30,21,87,85,9,28,6,2,1,13,3,1,2,18,.329,.345,.482,.827,41,4,0,0,0,0,,1,1998,AAA,BOS
Jimmy Hurst,26,103,421,360,61,103,11,1,20,67,22,9,59,98,.286,.388,.489,.877,176,17,1,1,0,1,,1,1998,AAA,BOS
Gavin Jackson,24,67,242,206,21,49,4,1,3,24,3,2,27,40,.238,.329,.311,.640,64,5,3,2,4,0,,0,1998,AAA,BOS
Keith Johns,26,96,367,329,31,75,12,1,8,38,2,6,28,82,.228,.292,.343,.636,113,10,4,1,5,0,,1,1998,AAA,BOS
Cole Liniak,21,112,480,429,65,112,31,1,17,59,4,4,39,71,.261,.328,.457,.785,196,11,5,4,3,1,,1,1998,AAA,BOS
Walt McKeel,26,48,192,170,26,49,10,1,4,26,1,2,21,27,.288,.370,.429,.799,73,8,1,0,0,0,,1,1998,AAA,BOS
Lou Merloni,27,27,113,88,17,34,3,1,8,22,2,2,16,13,.386,.518,.716,1.234,63,2,8,1,0,0,,1,1998,AAA,BOS
Keith Mitchell,28,63,260,211,55,66,15,0,12,45,3,3,44,37,.313,.427,.555,.981,117,5,1,0,4,2,,1,1998,AAA,BOS
Trot Nixon*,24,135,597,509,97,158,26,4,23,74,26,13,76,81,.310,.400,.513,.913,261,10,5,0,7,6,,1,1998,AAA,BOS
Arquimedez Pozo,24,90,378,348,53,106,20,5,12,51,4,2,22,44,.305,.352,.494,.846,172,12,5,0,3,1,,1,1998,AAA,BOS
Mandy Romero#,30,45,169,139,20,46,5,0,8,27,0,0,24,15,.331,.419,.540,.959,75,1,0,2,4,6,,1,1998,AAA,BOS
Donnie Sadler,23,36,159,131,25,29,5,1,2,10,11,1,26,23,.221,.348,.321,.669,42,1,0,1,1,0,,1,1998,AAA,BOS
Nate Tebbs#,25,17,62,57,7,16,2,0,0,4,5,2,3,13,.281,.317,.316,.632,18,0,0,2,0,0,,0,1998,AAA,BOS
B.J. Waszgis,27,66,241,208,31,42,9,0,9,41,2,4,26,52,.202,.287,.375,.662,78,7,0,4,3,0,,1,1998,AAA,BOS
