Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Bruce Aven,26,5,21,15,4,3,1,0,1,1,3,0,6,5,.200,.429,.467,.895,7,0,0,0,0,0,,1,1998,AAA,CLE
Todd Betts*,25,14,44,35,5,8,3,0,2,6,0,0,8,7,.229,.364,.486,.849,17,0,0,0,1,0,,0,1998,AAA,CLE
Jim Betzsold,25,74,242,209,36,51,10,1,10,27,4,4,27,72,.244,.347,.445,.792,93,3,6,0,0,0,,0,1998,AAA,CLE
Jeff Branson*,31,12,51,46,5,12,4,1,0,2,0,0,5,9,.261,.333,.391,.725,18,0,0,0,0,1,,1,1998,AAA,CLE
Jolbert Cabrera,25,129,585,494,94,157,24,1,10,45,25,15,68,71,.318,.412,.431,.844,213,10,13,8,2,0,,1,1998,AAA,CLE
Jacob Cruz*,25,43,184,169,32,56,8,2,13,36,2,3,13,26,.331,.380,.633,1.014,107,3,1,0,1,0,,1,1998,AAA,CLE
Einar Diaz,25,115,444,415,62,130,21,3,8,63,3,3,21,33,.313,.354,.436,.790,181,8,6,0,2,3,,1,1998,AAA,CLE
Brian Giles*,27,13,52,46,5,11,2,0,2,7,0,0,6,8,.239,.327,.413,.740,19,2,0,0,0,0,,1,1998,AAA,CLE
Phil Hiatt,29,119,503,453,81,112,19,0,31,74,4,1,41,146,.247,.313,.494,.808,224,16,4,2,3,1,,1,1998,AAA,CLE
Rex Hudler,37,11,43,36,4,7,1,0,0,2,0,0,4,10,.194,.310,.222,.532,8,1,2,1,0,0,,1,1998,AAA,CLE
Pat Listach#,30,33,113,102,23,22,3,2,0,11,3,1,9,22,.216,.292,.284,.576,29,1,2,0,0,1,,1,1998,AAA,CLE
Torey Lovullo#,32,92,393,328,66,107,17,4,17,65,3,3,54,32,.326,.413,.558,.971,183,9,1,1,9,1,,1,1998,AAA,CLE
Jeff Manto,33,62,270,209,46,65,11,0,23,63,4,2,58,48,.311,.459,.694,1.153,145,2,1,0,2,0,,1,1998,AAA,CLE
David Miller*,24,115,485,415,56,111,19,2,9,54,6,8,61,72,.267,.362,.388,.750,161,10,2,4,3,3,,0,1998,AAA,CLE
Chan Perry,25,13,57,49,8,11,4,0,0,3,1,0,6,10,.224,.333,.306,.639,15,0,2,0,0,0,,1,1998,AAA,CLE
Alex Ramirez,23,121,546,521,94,156,21,8,34,103,6,4,16,101,.299,.324,.566,.890,295,11,5,0,4,4,,1,1998,AAA,CLE
Dave Roberts*,26,5,16,15,2,2,0,0,0,2,2,0,0,3,.133,.125,.133,.258,2,0,0,0,1,0,,1,1998,AAA,CLE
Marco Scutaro,22,8,27,26,3,6,3,0,0,4,0,0,0,2,.231,.231,.346,.577,9,0,0,1,0,0,,1,1998,AAA,CLE
Bill Selby*,28,97,375,334,45,85,23,0,14,52,3,0,38,50,.254,.328,.449,.777,150,6,0,0,3,7,,1,1998,AAA,CLE
Richie Sexson,23,89,402,344,58,102,20,1,21,74,1,2,50,68,.297,.386,.544,.929,187,11,3,0,5,2,,1,1998,AAA,CLE
Steve Soliz,27,39,128,112,14,25,6,0,0,9,1,1,11,23,.223,.307,.277,.584,31,6,3,1,1,0,,0,1998,AAA,CLE
Greg Thomas*,25,4,12,11,1,1,1,0,0,2,0,0,1,5,.091,.167,.182,.348,2,0,0,0,0,0,,0,1998,AAA,CLE
Brandon Wilson,29,98,378,337,53,92,19,2,7,53,15,5,32,56,.273,.340,.404,.744,136,5,4,2,3,0,,0,1998,AAA,CLE
Enrique Wilson#,24,56,245,221,40,62,13,0,4,23,8,3,19,21,.281,.335,.394,.728,87,6,0,3,2,0,,1,1998,AAA,CLE
