Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Liván Hernández,35,10,12,.455,3.66,33,33,0,2,1,0,211.2,216,93,86,16,64,5,114,4,1,1,896,110,3.95,1.323,9.2,0.7,2.7,4.8,1.78,1
SP,John Lannan*,25,8,8,.500,4.65,25,25,0,0,0,0,143.1,175,82,74,14,49,3,71,4,0,1,643,87,4.47,1.563,11.0,0.9,3.1,4.5,1.45,1
SP,Craig Stammen,26,4,4,.500,5.13,35,19,3,0,0,0,128.0,151,78,73,13,41,4,85,1,0,3,562,79,4.06,1.500,10.6,0.9,2.9,6.0,2.07,1
SP,Luis Atilano,25,6,7,.462,5.15,16,16,0,0,0,0,85.2,96,56,49,11,32,5,40,2,1,1,385,79,5.01,1.494,10.1,1.2,3.4,4.2,1.25,1
SP,Scott Olsen*,26,4,8,.333,5.56,17,15,0,0,0,0,81.0,93,54,50,10,27,4,53,2,0,0,357,73,4.45,1.481,10.3,1.1,3.0,5.9,1.96,1
SP,Jason Marquis,31,2,9,.182,6.60,13,13,0,0,0,0,58.2,76,47,43,9,24,0,31,8,1,1,276,61,5.65,1.705,11.7,1.4,3.7,4.8,1.29,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Matt Capps,26,3,3,.500,2.74,47,0,43,0,0,26,46.0,51,20,14,5,9,3,38,0,0,0,199,148,3.43,1.304,10.0,1.0,1.8,7.4,4.22,1
RP,Tyler Clippard,25,11,8,.579,3.07,78,0,18,0,0,1,91.0,69,33,31,8,41,4,112,2,1,1,378,132,3.18,1.209,6.8,0.8,4.1,11.1,2.73,1
RP,Miguel Batista,39,1,2,.333,3.70,58,1,18,0,0,2,82.2,71,36,34,9,39,8,55,5,0,4,350,109,4.76,1.331,7.7,1.0,4.2,6.0,1.41,1
RP,Sean Burnett*,27,1,7,.125,2.14,73,0,10,0,0,3,63.0,52,17,15,3,20,4,62,1,0,2,261,189,2.73,1.143,7.4,0.4,2.9,8.9,3.10,1
RP,Drew Storen,22,4,4,.500,3.58,54,0,22,0,0,5,55.1,48,24,22,3,22,3,52,3,0,3,232,113,3.26,1.265,7.8,0.5,3.6,8.5,2.36,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stephen Strasburg,21,5,3,.625,2.91,12,12,0,0,0,0,68.0,56,25,22,5,17,0,92,0,0,2,274,139,2.08,1.074,7.4,0.7,2.3,12.2,5.41,1
,Joel Peralta,34,1,0,1.000,2.02,39,0,10,0,0,0,49.0,30,12,11,5,9,4,49,1,0,0,189,201,3.02,0.796,5.5,0.9,1.7,9.0,5.44,1
,J.D. Martin,27,1,5,.167,4.13,9,9,0,0,0,0,48.0,56,30,22,9,11,1,31,1,0,1,212,98,4.97,1.396,10.5,1.7,2.1,5.8,2.82,1
,Doug Slaten*,30,4,1,.800,3.10,49,0,13,0,0,0,40.2,34,18,14,2,19,2,36,4,0,2,174,131,3.64,1.303,7.5,0.4,4.2,8.0,1.89,1
,Tyler Walker,34,1,0,1.000,3.57,24,0,6,0,0,0,35.1,35,16,14,5,8,2,30,0,0,1,145,114,3.90,1.217,8.9,1.3,2.0,7.6,3.75,1
,Jordan Zimmermann,24,1,2,.333,4.94,7,7,0,0,0,0,31.0,31,20,17,8,10,1,27,2,0,0,135,83,5.85,1.323,9.0,2.3,2.9,7.8,2.70,1
,Ross Detwiler*,24,1,3,.250,4.25,8,5,1,0,0,0,29.2,34,22,14,5,14,1,17,1,0,1,135,96,5.64,1.618,10.3,1.5,4.2,5.2,1.21,1
,Yunesky Maya,28,0,3,.000,5.88,5,5,0,0,0,0,26.0,30,18,17,3,11,1,12,2,3,2,118,69,5.16,1.577,10.4,1.0,3.8,4.2,1.09,1
,Collin Balester,24,0,1,.000,2.57,17,0,8,0,0,0,21.0,15,6,6,2,11,1,28,2,0,4,89,159,3.51,1.238,6.4,0.9,4.7,12.0,2.55,1
,Brian Bruney,28,1,2,.333,7.64,19,0,6,0,0,0,17.2,21,18,15,1,20,1,16,0,0,1,93,54,5.40,2.321,10.7,0.5,10.2,8.2,0.80,1
,Jesse English*,25,0,0,,3.86,7,0,0,0,0,0,7.0,10,3,3,0,2,0,4,0,0,1,33,110,2.79,1.714,12.9,0.0,2.6,5.1,2.00,1
,Matt Chico*,27,0,0,,3.60,1,1,0,0,0,0,5.0,6,2,2,0,0,0,3,1,0,1,22,120,2.48,1.200,10.8,0.0,0.0,5.4,,1
,Joe Bisenius,27,0,0,,9.64,5,0,2,0,0,0,4.2,6,6,5,1,6,0,5,0,0,0,26,45,7.58,2.571,11.6,1.9,11.6,9.6,0.83,1
,Garrett Mock,27,0,0,,5.40,1,1,0,0,0,0,3.1,4,2,2,2,5,0,3,0,0,0,19,83,13.58,2.700,10.8,5.4,13.5,8.1,0.60,1
,Jason Bergmann,28,0,1,.000,15.43,4,0,0,0,0,0,2.1,3,4,4,2,1,0,2,0,0,0,11,30,13.79,1.714,11.6,7.7,3.9,7.7,2.00,1
,Team Totals,28.3,69,93,.426,4.13,162,162,160,2,1,37,1435.0,1469,742,658,151,512,57,1068,46,7,33,6214,98,4.12,1.380,9.2,0.9,3.2,6.7,2.09,1
,Rank in 16 NL teams,,14,3,,11,,,,12,15,10,14 ,13,12,11,10,4,,15,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
