Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Pablo Abreu,18,61,241,208,33,52,14,0,7,33,9,1,28,61,.250,.335,.418,.753,87,3,0,2,3,0,,0
Mike Alescio,22,21,69,61,8,11,2,0,1,6,0,1,4,21,.180,.235,.262,.498,16,1,1,1,2,0,,0
Luis Avila,19,26,93,90,12,27,4,1,0,8,2,1,2,20,.300,.312,.367,.678,33,3,0,0,1,0,,0
Jean Carmona#,18,39,172,155,28,37,8,3,4,24,5,3,13,45,.239,.298,.406,.705,63,1,1,1,2,0,,0
LG Castillo,18,65,271,260,28,74,5,5,5,39,5,7,8,61,.285,.307,.400,.707,104,7,1,1,1,0,,0
Yeison Coca#,19,68,304,281,49,79,14,7,3,21,16,9,13,66,.281,.315,.413,.728,116,3,1,9,0,0,,0
Bryan Connell,19,21,80,73,11,16,3,0,2,11,1,1,6,32,.219,.288,.342,.630,25,1,1,0,0,0,,0
Nick Egnatuk,19,30,125,118,14,26,3,1,4,16,2,2,4,39,.220,.258,.364,.622,43,2,2,1,0,0,,0
David Fry,22,61,261,222,44,70,15,2,12,57,2,1,29,42,.315,.406,.563,.969,125,4,7,0,3,1,,0
Jesus Lujano*,19,60,219,196,34,55,9,3,1,22,8,6,16,32,.281,.338,.372,.710,73,4,1,6,0,0,,0
Chad McClanahan*,20,49,212,183,30,55,14,3,8,35,3,4,24,55,.301,.382,.541,.923,99,3,2,0,3,2,,0
Connor McVey,23,16,64,52,8,13,2,0,1,2,2,1,10,13,.250,.391,.346,.737,18,1,2,0,0,0,,0
Antonio Pinero#,19,5,22,21,3,5,1,0,0,5,0,0,0,4,.238,.238,.286,.524,6,0,0,1,0,0,,0
Robie Rojas,23,3,9,7,4,3,0,0,1,4,0,0,2,1,.429,.556,.857,1.413,6,0,0,0,0,0,,0
Jose Sibrian,19,37,140,127,11,25,5,0,1,8,0,0,7,28,.197,.271,.260,.531,33,4,6,0,0,0,,0
Eddie Silva,22,20,79,72,14,26,11,0,1,17,2,2,2,12,.361,.410,.556,.966,40,0,4,1,0,0,,0
Bryan Torres*,20,37,135,126,12,35,6,1,1,16,4,5,6,16,.278,.311,.365,.676,46,4,0,3,0,0,,0
Brice Turang*,18,29,135,112,26,30,4,1,1,11,6,1,22,28,.268,.385,.348,.733,39,1,0,0,1,0,,0
Je'Von Ward*,18,64,271,238,40,73,13,2,2,21,13,5,32,57,.307,.391,.403,.795,96,5,1,0,0,1,,0
19 Players,19.3,76,2902,2602,409,712,133,29,55,356,80,50,228,633,.274,.337,.410,.748,1068,47,30,26,16,4,,0
