n_years,n_players,pct
1,8318,0.2285844248066748
2,7361,0.20228539925486091
3,5400,0.14839575546478045
4,4106,0.11283573554414604
5,3114,0.08557488565135674
6,2478,0.06809716334106036
7,1880,0.05166370745810875
8,1357,0.0372913037343902
9,1052,0.028909691620175752
10,801,0.022012037060609103
