n_year,n_players,pct,ever_exit
1,3116,0.2089452155837189,1
2,3065,0.20552538054046804,1
3,2160,0.14484007242003621,1
4,1486,0.09964460537785824,1
5,1075,0.07208475826460135,1
6,850,0.05699725072084758,1
7,688,0.046134245289344865,1
8,516,0.03460068396700865,1
9,394,0.02641990209883994,1
10,344,0.023067122644672432,1
10,1219,0.08174076309260377,0
