pct,year,exit,cell
0.2089452155837189,1,TRUE,1
0.20552538054046804,2,TRUE,2
0.14484007242003621,3,TRUE,3
0.09964460537785824,4,TRUE,4
0.07208475826460135,5,TRUE,5
0.05699725072084758,6,TRUE,6
0.046134245289344865,7,TRUE,7
0.03460068396700865,8,TRUE,8
0.02641990209883994,9,TRUE,9
0.023067122644672432,10,TRUE,10
0.2285844248066748,1,FALSE,11
0.20228539925486091,2,FALSE,12
0.14839575546478045,3,FALSE,13
0.11283573554414604,4,FALSE,14
0.08557488565135674,5,FALSE,15
0.06809716334106036,6,FALSE,16
0.05166370745810875,7,FALSE,17
0.0372913037343902,8,FALSE,18
0.028909691620175752,9,FALSE,19
0.022012037060609103,10,FALSE,20
