pct,year,exit,cell
0.2089452155837189,1,TRUE,1
0.20552538054046804,2,TRUE,2
0.14484007242003621,3,TRUE,3
0.09964460537785824,4,TRUE,4
0.07208475826460135,5,TRUE,5
0.05699725072084758,6,TRUE,6
0.046134245289344865,7,TRUE,7
0.03460068396700865,8,TRUE,8
0.02641990209883994,9,TRUE,9
0.023067122644672432,10,TRUE,10
0.5577683899953061,1,FALSE,11
0.49359619124254006,2,FALSE,12
0.3621001810500905,3,FALSE,13
0.2753302487762355,4,FALSE,14
0.2088111044055522,5,FALSE,15
0.16616374974854153,6,FALSE,16
0.12606450747669817,7,FALSE,17
0.09099443438610608,8,FALSE,18
0.07054247971568431,9,FALSE,19
0.05371152685576343,10,FALSE,20
