Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,J.T. Realmuto,25,137,545,509,60,154,31,0,11,48,12,4,28,100,.303,.343,.428,.771,111,218,12,5,0,3,1,1
1B,Justin Bour*,28,90,321,280,35,74,12,1,15,51,0,0,38,56,.264,.349,.475,.824,124,133,8,0,0,3,9,1
2B,Dee Strange-Gordon*,28,79,346,325,47,87,7,6,1,14,30,7,18,55,.268,.305,.335,.641,77,109,4,0,1,1,1,1
SS,Adeiny Hechavarria,27,155,547,508,52,120,17,6,3,38,1,0,33,73,.236,.283,.311,.594,64,158,10,1,2,3,7,1
3B,Martin Prado,32,153,658,600,70,183,37,3,8,75,2,2,49,69,.305,.359,.417,.775,113,250,24,4,0,5,4,1
LF,Christian Yelich*,24,155,659,578,78,172,38,3,21,98,9,4,72,138,.298,.376,.483,.859,135,279,20,4,0,5,4,1
CF,Marcell Ozuna,25,148,608,557,75,148,23,6,23,76,0,3,43,115,.266,.321,.452,.773,110,252,11,4,0,4,2,1
RF,Giancarlo Stanton,26,119,470,413,56,99,20,1,27,74,0,0,50,140,.240,.326,.489,.815,120,202,6,4,0,2,5,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,Derek Dietrich*,26,128,412,351,39,98,20,5,7,42,1,0,32,84,.279,.374,.425,.798,120,149,6,24,0,5,2,1
RF,Ichiro Suzuki*,42,143,365,327,48,95,15,5,1,22,10,2,30,42,.291,.354,.376,.730,102,123,4,3,3,2,1,1
1B,Chris Johnson,31,113,264,243,20,54,11,0,5,24,0,0,19,78,.222,.281,.329,.611,68,80,13,1,1,0,2,1
MI,Miguel Rojas,27,123,214,194,27,48,12,0,1,14,2,1,11,27,.247,.288,.325,.613,69,63,10,1,6,2,2,1
C,Jeff Mathis,33,41,132,126,12,30,4,1,2,15,0,0,4,36,.238,.267,.333,.601,64,42,1,1,1,0,0,1
1B,Xavier Scruggs,28,24,69,62,1,13,3,0,1,5,0,0,5,20,.210,.290,.306,.596,65,19,1,2,0,0,0,1
OF,Jeff Francoeur,32,26,55,50,4,14,2,1,0,1,0,2,4,15,.280,.333,.360,.693,91,18,1,0,1,0,0,1
UT,Cole Gillespie,32,41,55,51,7,12,3,2,0,5,0,0,3,14,.235,.273,.373,.645,75,19,1,0,0,1,0,1
1B,Don Kelly*,36,13,30,27,2,4,0,2,0,3,0,0,2,5,.148,.200,.296,.496,34,8,2,0,0,1,0,1
OF,Destin Hood,26,13,25,25,3,6,1,0,1,2,0,1,0,11,.240,.240,.400,.640,72,10,0,0,0,0,0,1
UT,Robert Andino,32,13,24,24,2,7,0,0,0,1,0,0,0,4,.292,.292,.292,.583,62,7,0,0,0,0,0,1
C,Tomas Telis#,25,10,13,13,1,4,0,0,1,4,0,0,0,2,.308,.308,.538,.846,127,7,0,0,0,0,0,1
MI,Yefri Perez#,25,12,3,3,5,2,1,0,0,0,4,2,0,1,.667,.667,1.000,1.667,351,3,0,0,0,0,0,1
 ,Oswaldo Arcia*,25,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Jose Fernandez,23,28,61,52,3,13,2,0,0,6,0,0,1,13,.250,.264,.288,.553,52,15,1,0,8,0,0,1
P,Tom Koehler,30,30,56,51,1,5,0,0,0,4,0,0,1,28,.098,.115,.098,.213,-40,5,0,0,4,0,0,1
P,Wei-Yin Chen*,30,21,49,44,0,0,0,0,0,0,0,0,0,18,.000,.000,.000,.000,-100,0,2,0,5,0,0,1
P,Adam Conley*,26,23,47,41,4,5,0,0,0,3,0,0,1,22,.122,.140,.122,.261,-27,5,1,0,4,1,0,1
P,Justin Nicolino*,24,17,24,22,0,2,0,0,0,0,0,0,1,11,.091,.130,.091,.221,-37,2,1,0,1,0,0,1
P,Jose Urena,24,28,22,17,1,3,0,0,0,0,0,0,1,11,.176,.222,.176,.399,12,3,0,0,4,0,0,1
P,Andrew Cashner,29,11,18,16,1,3,0,0,0,0,0,0,1,7,.188,.235,.188,.423,19,3,0,0,1,0,0,1
P,David Phelps,29,62,13,11,0,2,0,0,0,1,0,0,0,3,.182,.182,.182,.364,1,2,1,0,2,0,0,1
P,Jarred Cosart,26,4,7,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-8,1,0,0,1,0,0,1
P,Jake Esch,26,3,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,11,1,0,0,0,0,0,1
P,Dustin McGowan,34,50,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Chris Narveson*,34,6,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Paul Clemens,28,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Colin Rea,25,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
P,Cody Ege*,25,5,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,454,1,0,0,0,0,0,1
P,Kendry Flores,24,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Kyle Barraclough,26,72,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Brian Ellington,25,28,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Bryan Morris*,29,24,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Austin Brice,24,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Craig Breslow*,35,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Cody Hall,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Jo-Jo Reyes*,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,AJ Ramos,29,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Hunter Cervenka*,26,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Fernando Rodney,39,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Nick Wittgren,25,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Mike Dunn*,31,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Nefi Ogando,27,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Edwin Jackson,32,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Odrisamer Despaigne,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,28.2,161,6134,5547,655,1460,259,42,128,626,71,28,447,1213,.263,.322,.394,.716,96,2187,140,54,46,38,40,1
,Rank in 15 NL teams,,,,5,13,3,11,4,14,,10,4,14,2,2,7,12,12,,11,,10,,8,,1
,Non-Pitcher Totals,28.3,161,5817,5268,644,1424,257,42,128,612,71,28,441,1086,.270,.331,.408,.739,102,2149,134,54,15,37,40,1
,Pitcher Totals,26.8,161,317,279,11,36,2,0,0,14,0,0,6,127,.129,.147,.136,.283,-21,38,6,0,31,1,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
