Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
P,Wandy Peralta*,24,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Matt Magill,26,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Abel De Los Santos,23,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Layne Somsen,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Ross Ohlendorf,33,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Steve Delabar,32,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Dayan Diaz,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,27.9,162,6094,5487,716,1403,277,33,164,678,139,51,452,1284,.256,.316,.408,.724,91,2238,129,52,58,44,37,1
,Rank in 15 NL teams,,,,11,8,9,7,6,10,,2,14,12,5,6,12,8,11,,8,,11,,4,,1
,Non-Pitcher Totals,28.0,162,5767,5205,705,1380,271,33,163,667,139,51,441,1138,.265,.326,.424,.750,98,2206,123,50,26,44,37,1
,Pitcher Totals,26.0,162,327,282,11,23,6,0,1,11,0,0,11,146,.082,.122,.113,.236,-37,32,6,2,32,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
