Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Carlos Zambrano,25,16,7,.696,3.41,33,33,0,0,0,0,214.0,162,91,81,20,115,4,210,9,1,9,917,136,4.14,1.294,6.8,0.8,4.8,8.8,1.83,1
SP,Greg Maddux,40,9,11,.450,4.69,22,22,0,0,0,0,136.1,153,78,71,14,23,3,81,0,0,0,572,99,3.80,1.291,10.1,0.9,1.5,5.3,3.52,1
SP,Sean Marshall*,23,6,9,.400,5.59,24,24,0,0,0,0,125.2,132,85,78,20,59,3,77,7,0,6,563,83,5.57,1.520,9.5,1.4,4.2,5.5,1.31,1
SP,Rich Hill*,26,6,7,.462,4.17,17,16,1,2,1,0,99.1,83,51,46,16,39,1,90,2,0,3,417,111,4.67,1.228,7.5,1.4,3.5,8.2,2.31,1
SP,Carlos Marmol,23,5,7,.417,6.08,19,13,1,0,0,0,77.0,71,54,52,14,59,2,59,5,1,3,356,76,6.47,1.688,8.3,1.6,6.9,6.9,1.00,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Ryan Dempster,29,1,9,.100,4.80,74,0,64,0,0,24,75.0,77,47,40,5,36,3,67,3,0,6,342,97,3.79,1.507,9.2,0.6,4.3,8.0,1.86,1
RP,Bob Howry,32,4,5,.444,3.17,84,0,26,0,0,5,76.2,70,28,27,8,17,4,71,3,0,1,314,147,3.43,1.135,8.2,0.9,2.0,8.3,4.18,1
RP,Roberto Novoa,26,2,1,.667,4.26,66,0,10,0,0,0,76.0,77,47,36,15,32,5,53,6,0,4,336,109,5.82,1.434,9.1,1.8,3.8,6.3,1.66,1
RP,Will Ohman*,28,1,1,.500,4.13,78,0,14,0,0,0,65.1,51,30,30,6,34,2,74,5,0,4,286,113,3.87,1.301,7.0,0.8,4.7,10.2,2.18,1
RP,Scott Eyre*,34,1,3,.250,3.38,74,0,15,0,0,0,61.1,61,25,23,11,30,4,73,0,0,6,266,138,4.57,1.484,9.0,1.6,4.4,10.7,2.43,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glendon Rusch*,31,3,8,.273,7.46,25,9,5,0,0,0,66.1,86,57,55,21,33,2,59,1,0,0,311,62,7.02,1.794,11.7,2.8,4.5,8.0,1.79,1
,Angel Guzman,24,0,6,.000,7.39,15,10,1,0,0,0,56.0,68,48,46,9,37,1,60,6,1,8,272,63,5.40,1.875,10.9,1.4,5.9,9.6,1.62,1
,David Aardsma,24,3,0,1.000,4.08,45,0,9,0,0,0,53.0,41,25,24,9,28,0,49,1,0,1,225,114,5.15,1.302,7.0,1.5,4.8,8.3,1.75,1
,Juan Mateo,23,1,3,.250,5.32,11,10,0,0,0,0,45.2,51,31,27,6,23,1,35,3,0,1,210,88,5.03,1.620,10.1,1.2,4.5,6.9,1.52,1
,Mark Prior,25,1,6,.143,7.21,9,9,0,0,0,0,43.2,46,39,35,9,28,2,38,8,0,5,211,65,6.56,1.695,9.5,1.9,5.8,7.8,1.36,1
,Michael Wuertz,27,3,1,.750,2.66,41,0,4,0,0,0,40.2,35,14,12,5,16,2,42,1,0,1,175,176,3.93,1.254,7.7,1.1,3.5,9.3,2.63,1
,Scott Williamson,30,2,3,.400,5.08,31,0,5,0,0,0,28.1,27,17,16,2,16,1,32,1,1,7,127,92,3.61,1.518,8.6,0.6,5.1,10.2,2.00,1
,Wade Miller,29,0,2,.000,4.57,5,5,0,0,0,0,21.2,19,12,11,4,18,1,20,1,0,1,103,103,6.33,1.708,7.9,1.7,7.5,8.3,1.11,1
,Kerry Wood,29,1,2,.333,4.12,4,4,0,0,0,0,19.2,19,13,9,5,8,0,13,1,0,1,86,114,6.50,1.373,8.7,2.3,3.7,5.9,1.63,1
,Les Walrond*,29,0,1,.000,6.23,10,2,0,0,0,0,17.1,19,13,12,2,12,1,21,0,0,0,84,76,4.30,1.788,9.9,1.0,6.2,10.9,1.75,1
,Jae Kuk Ryu,23,0,1,.000,8.40,10,1,4,0,0,0,15.0,23,14,14,7,6,1,17,2,0,1,77,56,8.55,1.933,13.8,4.2,3.6,10.2,2.83,1
,Ryan O'Malley*,26,1,1,.500,2.13,2,2,0,0,0,0,12.2,10,3,3,0,7,0,4,1,0,0,55,223,4.41,1.342,7.1,0.0,5.0,2.8,0.57,1
,Jerome Williams,24,0,2,.000,7.30,5,2,1,0,0,0,12.1,15,12,10,2,11,1,5,1,0,0,61,65,7.36,2.108,10.9,1.5,8.0,3.6,0.45,1
,Team Totals,27.8,66,96,.407,4.74,162,162,160,2,1,29,1439.0,1396,834,758,210,687,44,1250,67,4,68,6366,98,4.88,1.448,8.7,1.3,4.3,7.8,1.82,1
,Rank in 16 NL teams,,16,1,,14,,,,13,12,16,10 ,2,15,14,14,16,,1,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
