year,exit,observed,pct
1,TRUE,TRUE,0.04839723444374607
1,TRUE,FALSE,0.08308127035739543
2,TRUE,TRUE,0.021998742928975485
2,TRUE,FALSE,0.07450517355778935
3,TRUE,TRUE,0.05845380263984915
3,TRUE,FALSE,0.06685377426792827
4,TRUE,TRUE,0.14456316781898176
4,TRUE,FALSE,0.06002659811537135
5,TRUE,TRUE,0.1495914519170333
5,TRUE,FALSE,0.05393397796283139
6,TRUE,TRUE,0.09553739786297925
6,TRUE,FALSE,0.04849538553337295
7,TRUE,TRUE,0.05028284098051539
7,TRUE,FALSE,0.043636489052979455
8,TRUE,TRUE,0.024512884978001255
8,TRUE,FALSE,0.03928236027104747
9,TRUE,TRUE,0.008170961659333752
9,TRUE,FALSE,0.035342823192492885
10,TRUE,TRUE,0.0018856065367693273
10,TRUE,FALSE,0.03168903304216721
1,FALSE,TRUE,0.04211187932118164
1,FALSE,FALSE,5.363160987497429e-9
2,FALSE,TRUE,0.01697045883092395
2,FALSE,FALSE,4.9471211302467966e-8
3,FALSE,TRUE,0.08610936517913262
3,FALSE,FALSE,3.923230399240837e-7
4,FALSE,TRUE,0.11627906976744186
4,FALSE,FALSE,2.6615567696500455e-6
5,FALSE,TRUE,0.08485229415461973
5,FALSE,FALSE,1.5377534860732647e-5
6,FALSE,TRUE,0.030798240100565682
6,FALSE,FALSE,7.537059167609266e-5
7,FALSE,TRUE,0.013199245757385292
7,FALSE,FALSE,3.123630162467955e-4
8,FALSE,TRUE,0.0037712130735386546
8,FALSE,FALSE,0.0010917762814729888
9,FALSE,TRUE,0.001257071024512885
9,FALSE,FALSE,0.003212266289289238
10,FALSE,TRUE,0.001257071024512885
10,FALSE,FALSE,0.007947072932608863
