Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Hunter Bledsoe,27,61,251,222,29,69,16,1,0,17,1,1,25,16,.311,.390,.392,.782,87,7,4,0,0,0,,0
Andy Brown*,23,85,313,285,29,68,17,3,7,37,7,1,28,89,.239,.307,.393,.700,112,3,0,0,0,0,,0
Robinson Cano*,20,90,390,366,50,101,16,3,5,50,1,1,17,49,.276,.313,.377,.690,138,5,4,0,3,1,,1
Elvis Corporan#,23,116,471,410,48,101,15,4,4,47,9,3,54,91,.246,.331,.332,.663,136,10,1,0,6,1,,0
Shelley Duncan,23,91,375,330,42,87,19,2,8,47,5,1,35,83,.264,.336,.406,.742,134,8,4,0,6,0,,1
Alejandro Fernandez,22,42,164,157,11,38,7,0,1,9,0,0,2,45,.242,.270,.306,.576,48,6,4,1,0,0,,0
Maleke Fowler,27,45,187,158,24,43,9,1,2,9,7,2,25,39,.272,.373,.380,.753,60,4,1,2,1,0,,0
Jason Grove*,24,18,70,63,7,17,7,0,0,13,1,0,6,17,.270,.329,.381,.710,24,0,0,0,1,0,,0
Jared Koutnik,23,87,311,282,38,76,14,1,4,29,1,1,19,62,.270,.330,.369,.699,104,5,7,2,1,0,,0
Erick Macha,23,19,57,53,7,9,2,0,0,3,1,2,2,5,.170,.196,.208,.404,11,3,0,1,1,0,,0
Sandy Madera,22,7,21,20,2,5,2,0,1,3,0,0,0,7,.250,.238,.500,.738,10,0,0,0,1,0,,0
Deivi Mendez,20,30,97,92,7,21,5,0,0,8,0,0,3,16,.228,.250,.283,.533,26,2,0,1,1,0,,0
Dioner Navarro#,19,52,221,197,28,59,16,4,3,28,1,0,17,27,.299,.364,.467,.831,92,4,4,1,2,0,,1
Dave Parrish,24,18,64,57,7,13,3,0,0,3,0,0,4,10,.228,.313,.281,.593,16,2,3,0,0,0,,0
Tom Rojas,21,11,31,24,2,7,2,0,1,6,0,1,5,6,.292,.452,.500,.952,12,0,2,0,0,0,,0
Bronson Sardinha*,20,59,240,212,23,41,8,2,1,17,8,2,24,57,.193,.279,.264,.543,56,3,2,0,2,0,,1
Jeff Segar,24,111,440,403,49,90,29,1,6,59,10,2,29,66,.223,.280,.345,.624,139,12,4,0,4,0,,0
Fernando Seguignol#,28,3,13,13,1,5,0,0,0,1,0,0,0,2,.385,.385,.385,.769,5,1,0,0,0,0,,1
George Sterner,23,17,49,44,6,8,1,0,0,3,0,0,4,13,.182,.265,.205,.470,9,2,1,0,0,0,,0
Ferdin Tejeda,20,51,230,217,33,64,9,5,0,20,4,3,6,38,.295,.320,.382,.703,83,6,3,2,2,2,,0
Kevin Thompson,23,44,203,163,42,54,13,4,5,25,16,5,32,27,.331,.433,.552,.986,90,3,2,0,6,2,,1
Dan Tosca*,22,22,77,64,10,18,3,0,0,13,0,0,11,11,.281,.382,.328,.710,21,1,0,1,1,0,,0
Jason Turner*,25,21,78,65,7,14,0,1,1,9,0,2,12,9,.215,.346,.292,.638,19,0,1,0,0,1,,0
Willie Vasquez#,19,21,86,73,7,17,4,0,0,7,0,2,9,20,.233,.318,.288,.605,21,2,1,1,2,0,,0
Tommy Winrow*,22,111,443,407,53,101,16,8,7,47,11,3,29,80,.248,.299,.378,.678,154,8,2,2,3,1,,0
25 Players,22.5,132,4882,4377,562,1126,233,40,56,510,83,32,398,885,.257,.323,.367,.690,1607,97,50,14,43,8,,0
