Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Bartolo Colon,42,14,13,.519,4.16,33,31,1,1,1,0,194.2,217,94,90,25,24,5,136,4,0,0,815,91,3.84,1.238,10.0,1.2,1.1,6.3,5.67,1
SP,Jacob deGrom,27,14,8,.636,2.54,30,30,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6,751,149,2.70,0.979,7.0,0.8,1.8,9.7,5.39,1
SP,Matt Harvey,26,13,8,.619,2.71,29,29,0,0,0,0,189.1,156,62,57,18,37,2,188,5,0,4,755,140,3.05,1.019,7.4,0.9,1.8,8.9,5.08,1
SP,Jon Niese*,28,9,10,.474,4.13,33,29,1,0,0,0,176.2,192,93,81,20,55,2,113,9,0,2,770,92,4.41,1.398,9.8,1.0,2.8,5.8,2.05,1
SP,Noah Syndergaard,22,9,7,.563,3.24,24,24,0,0,0,0,150.0,126,60,54,19,31,2,166,3,0,6,603,117,3.25,1.047,7.6,1.1,1.9,10.0,5.35,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Jeurys Familia,25,2,2,.500,1.85,76,0,65,0,0,43,78.0,59,16,16,6,19,1,86,2,0,4,308,207,2.74,1.000,6.8,0.7,2.2,9.9,4.53,1
RP,Carlos Torres,32,5,6,.455,4.68,59,0,19,0,0,0,57.2,61,32,30,5,18,6,48,0,0,5,243,82,3.53,1.370,9.5,0.8,2.8,7.5,2.67,1
RP,Sean Gilmartin*,25,3,2,.600,2.67,50,1,13,0,0,0,57.1,50,17,17,2,18,5,54,2,0,1,235,143,2.75,1.186,7.8,0.3,2.8,8.5,3.00,1
RP,Hansel Robles,24,4,3,.571,3.67,57,0,7,0,0,0,54.0,37,27,22,8,18,1,61,2,1,2,217,104,3.91,1.019,6.2,1.3,3.0,10.2,3.39,1
