Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
P,Chris Bassitt,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Carlos Ramirez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Trevor Cahill,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Lou Trivino,26,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
P,Aaron Brooks,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
,Team Totals,28.1,162,6255,5579,813,1407,322,20,227,778,35,21,550,1381,.252,.325,.439,.764,110,2450,136,76,6,44,18,1
,Rank in 15 AL teams,,,,3,4,4,2,11,2,,15,1,6,9,6,6,3,4,,3,,4,,5,,1
,Non-Pitcher Totals,28.1,162,6234,5558,812,1404,322,20,227,777,35,21,550,1375,.253,.326,.440,.766,111,2447,134,76,6,44,18,1
,Pitcher Totals,23.4,162,21,21,1,3,0,0,0,1,0,0,0,6,.143,.143,.143,.286,-20,3,2,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
