Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Jeff Auterson,20,74,324,290,43,77,26,4,6,53,9,5,26,72,.266,.332,.445,.777,129,6,4,2,2,0,,0,1998,Short-Season A,LAD
Mike Balbuena#,19,24,56,48,4,8,1,0,1,7,0,0,6,13,.167,.255,.250,.505,12,0,0,1,1,0,,0,1998,Short-Season A,LAD
Mike Collins,21,18,75,67,5,19,2,0,0,2,2,6,4,6,.284,.333,.313,.647,21,0,1,3,0,0,,0,1998,Short-Season A,LAD
Dave Detienne,18,32,98,88,10,17,3,0,0,6,6,3,7,22,.193,.250,.227,.477,20,0,0,2,1,0,,0,1998,Short-Season A,LAD
Jesus Feliciano*,19,73,343,302,47,92,7,1,0,26,34,10,32,37,.305,.372,.334,.707,101,4,3,2,4,0,,1,1998,Short-Season A,LAD
Ismael Garcia,20,41,115,102,20,29,4,1,2,15,1,0,10,22,.284,.351,.402,.753,41,1,1,1,1,0,,0,1998,Short-Season A,LAD
Jim Goelz,22,69,254,213,20,39,6,0,0,15,9,0,28,36,.183,.282,.211,.494,45,6,3,6,4,0,,0,1998,Short-Season A,LAD
Robb Gorr,21,66,276,254,43,67,9,2,5,35,2,1,15,33,.264,.303,.374,.677,95,4,1,2,4,2,,0,1998,Short-Season A,LAD
Jaime Goudie,19,35,148,138,15,38,8,2,0,16,6,1,6,16,.275,.301,.362,.664,50,5,0,2,2,0,,0,1998,Short-Season A,LAD
Matt Greer,22,19,52,49,7,14,1,1,0,8,1,0,3,16,.286,.327,.347,.674,17,0,0,0,0,0,,0,1998,Short-Season A,LAD
Ryan Kellner,20,19,58,55,6,15,1,1,1,5,0,0,1,22,.273,.310,.382,.692,21,1,2,0,0,0,,0,1998,Short-Season A,LAD
Kimani Newton,19,41,160,147,19,36,6,1,4,18,7,2,12,29,.245,.302,.381,.683,56,4,0,1,0,0,,0,1998,Short-Season A,LAD
Joe Paterson,19,56,207,187,20,52,14,2,6,34,2,4,17,37,.278,.338,.471,.809,88,4,1,0,2,1,,0,1998,Short-Season A,LAD
David Ross,21,59,230,191,31,59,14,1,6,25,2,2,34,49,.309,.412,.487,.899,93,5,1,2,2,0,,1,1998,Short-Season A,LAD
Ramon Ruiz,22,39,169,139,27,36,8,0,4,19,1,2,20,40,.259,.379,.403,.782,56,1,8,0,2,3,,0,1998,Short-Season A,LAD
Jacob Sampson,19,36,89,74,12,15,2,2,0,9,2,1,10,18,.203,.302,.284,.586,21,1,1,3,1,0,,0,1998,Short-Season A,LAD
Thomari Story-Harden,18,47,159,128,19,24,5,0,0,15,1,0,19,48,.188,.327,.227,.554,29,4,9,0,3,0,,0,1998,Short-Season A,LAD
Nick Theodorou#,23,46,160,133,24,37,12,0,0,11,7,5,26,26,.278,.396,.368,.765,49,1,0,1,0,0,,0,1998,Short-Season A,LAD
