Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Eliezer Alfonzo,19,48,187,175,16,43,4,1,2,19,1,0,6,49,.246,.274,.314,.588,55,5,2,1,3,0,,1,1998,Short-Season A,STL
Danilo Araujo,21,32,101,85,18,18,1,1,0,9,21,4,13,24,.212,.313,.247,.560,21,0,0,2,1,0,,0,1998,Short-Season A,STL
Greg Clark,21,51,187,170,15,30,3,0,2,14,1,0,15,46,.176,.246,.229,.475,39,7,1,0,1,0,,0,1998,Short-Season A,STL
Troy Farnsworth,22,65,254,218,33,56,14,1,6,37,2,4,25,64,.257,.345,.413,.758,90,2,6,2,3,0,,0,1998,Short-Season A,STL
Brandon Folkers*,22,52,152,133,7,32,5,1,1,16,2,2,10,50,.241,.300,.316,.616,42,0,3,2,4,2,,0,1998,Short-Season A,STL
Brad Freeman,22,73,301,253,37,63,11,3,2,26,19,10,24,45,.249,.342,.340,.682,86,0,14,6,4,1,,0,1998,Short-Season A,STL
Dan Hummel,21,48,145,121,17,27,7,0,2,17,2,1,16,30,.223,.329,.331,.659,40,3,4,2,2,1,,0,1998,Short-Season A,STL
Chris Kelly,21,19,70,61,6,16,4,0,1,6,1,0,7,17,.262,.343,.377,.720,23,1,1,0,1,0,,0,1998,Short-Season A,STL
Tommy Kidwell,21,39,134,123,14,30,6,0,0,9,1,2,8,17,.244,.299,.293,.591,36,3,2,0,1,0,,0,1998,Short-Season A,STL
Troy McNaughton*,23,53,183,157,27,40,7,4,1,14,6,5,20,45,.255,.344,.369,.714,58,4,2,3,1,0,,0,1998,Short-Season A,STL
Jim Molina,22,58,229,212,25,48,9,0,2,28,22,1,13,58,.226,.278,.297,.575,63,6,2,2,0,0,,0,1998,Short-Season A,STL
Jose Nunez,19,55,175,162,17,35,6,2,1,14,5,4,9,22,.216,.270,.296,.566,48,4,3,1,0,0,,0,1998,Short-Season A,STL
Todd Schmidt#,23,29,93,78,9,11,1,0,2,7,1,0,14,24,.141,.269,.231,.500,18,1,0,0,1,0,,0,1998,Short-Season A,STL
Joe Secoda,20,53,176,159,13,36,4,0,0,14,7,4,10,59,.226,.282,.252,.533,40,1,3,2,2,0,,0,1998,Short-Season A,STL
Nate Smith,23,42,164,143,17,35,5,3,0,17,4,1,13,27,.245,.313,.322,.634,46,2,2,4,2,0,,0,1998,Short-Season A,STL
Esix Snead#,22,58,234,193,38,45,4,4,1,16,42,11,33,54,.233,.365,.311,.676,60,3,7,1,0,0,,1,1998,Short-Season A,STL
