Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Josh Bard#,31,90,301,274,20,63,18,0,6,31,0,1,24,50,.230,.293,.361,.655,73,99,5,1,1,1,1,1
1B,Nick Johnson*,30,98,424,353,47,104,16,2,6,44,2,2,63,66,.295,.408,.402,.810,117,142,11,6,0,2,3,1
2B,Anderson Hernandez#,26,77,255,231,25,58,9,2,1,23,5,3,20,41,.251,.310,.320,.630,68,74,6,0,3,1,1,1
SS,Cristian Guzman#,31,135,555,531,74,151,24,7,6,52,4,5,16,75,.284,.306,.390,.696,83,207,9,1,6,1,0,1
3B,Ryan Zimmerman,24,157,694,610,110,178,37,3,33,106,2,0,72,119,.292,.364,.525,.888,133,320,22,2,0,9,9,1
LF,Josh Willingham,30,133,502,427,70,111,29,0,24,61,4,3,61,104,.260,.367,.496,.863,127,212,11,12,0,2,2,1
CF,Willie Harris*,31,137,393,323,47,76,18,6,7,27,11,4,57,62,.235,.364,.393,.757,101,127,4,9,3,1,1,1
RF,Elijah Dukes,25,107,416,364,38,91,20,4,8,58,3,10,46,74,.250,.337,.393,.729,93,143,8,3,0,3,2,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,Adam Dunn*,29,159,668,546,81,146,29,0,38,105,0,1,116,177,.267,.398,.529,.928,144,289,8,4,0,2,16,1
MI,Alberto Gonzalez,26,105,316,291,31,77,16,3,1,33,1,1,14,27,.265,.299,.351,.650,72,102,8,3,2,6,1,1
C,Wil Nieves,31,72,249,224,20,58,6,0,1,26,1,0,17,45,.259,.313,.299,.612,64,67,7,3,0,5,1,1
CF,Nyjer Morgan*,28,49,212,191,35,67,9,2,1,12,24,7,11,25,.351,.396,.435,.831,121,83,3,4,5,1,0,1
RF,Austin Kearns,29,80,211,174,20,34,6,2,3,17,1,1,32,51,.195,.336,.305,.641,72,53,12,5,0,0,1,1
2B,Ronnie Belliard,34,86,204,187,26,46,7,1,5,22,2,0,14,40,.246,.296,.374,.670,77,70,7,0,1,2,0,1
C,Jesus Flores,24,29,106,93,13,28,3,2,4,15,0,0,11,26,.301,.371,.505,.877,130,47,1,0,1,1,1,1
CF,Justin Maxwell,25,40,102,89,13,22,4,1,4,9,6,1,12,32,.247,.343,.449,.793,109,40,1,1,0,0,0,1
SS,Ian Desmond,23,21,89,82,9,23,7,2,4,12,1,0,5,14,.280,.318,.561,.879,128,46,2,0,1,1,0,1
2B,Pete Orr*,30,27,81,75,5,19,2,1,1,10,2,1,3,15,.253,.272,.347,.618,63,26,0,0,0,3,0,1
UT,Mike Morse,27,32,55,52,4,13,3,0,3,10,0,0,3,16,.250,.291,.481,.772,101,25,1,0,0,0,0,1
MI,Alex Cintron#,30,21,28,26,1,2,0,0,0,0,0,0,2,7,.077,.143,.077,.220,-39,2,1,0,0,0,0,1
CF,Lastings Milledge,24,7,26,24,1,4,0,0,0,1,1,0,1,10,.167,.231,.167,.397,8,4,1,1,0,0,0,1
OF,Jorge Padilla,29,29,26,25,3,3,0,0,0,0,0,0,1,8,.120,.154,.120,.274,-26,3,1,0,0,0,0,1
OF,Corey Patterson*,29,5,15,15,0,2,0,0,0,0,2,0,0,6,.133,.133,.133,.267,-29,2,0,0,0,0,0,1
C,Jamie Burke,37,6,13,10,0,1,0,0,0,1,0,0,1,5,.100,.167,.100,.267,-27,1,0,0,1,1,0,1
OF,Roger Bernadina*,25,3,5,4,1,1,1,0,0,0,1,0,1,1,.250,.400,.500,.900,137,2,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,John Lannan*,24,31,65,58,1,9,1,0,0,0,0,0,2,21,.155,.183,.172,.356,-5,10,0,0,5,0,0,1
P,Craig Stammen,25,18,37,31,1,6,3,0,0,4,0,0,2,10,.194,.242,.290,.533,41,9,0,0,4,0,0,1
P,Jordan Zimmermann,23,15,34,27,1,4,0,0,0,2,0,0,1,11,.148,.179,.148,.327,-12,4,0,0,6,0,0,1
P,J.D. Martin,26,16,28,25,3,4,0,0,0,0,0,0,1,13,.160,.192,.160,.352,-5,4,0,0,2,0,0,1
P,Shairon Martis,22,13,27,24,4,5,1,0,0,2,0,0,0,6,.208,.208,.250,.458,21,6,0,0,3,0,0,1
P,Garrett Mock,26,28,26,23,1,2,0,0,0,0,0,0,0,13,.087,.087,.087,.174,-54,2,0,0,3,0,0,1
P,Scott Olsen*,25,11,22,15,1,2,0,0,0,1,0,0,3,7,.133,.278,.133,.411,14,2,0,0,4,0,0,1
P,Ross Detwiler,23,13,19,19,1,1,0,0,0,1,0,0,0,12,.053,.053,.053,.105,-72,1,0,0,0,0,0,1
P,Liván Hernández,34,8,18,14,1,3,2,0,0,0,0,0,1,2,.214,.267,.357,.624,64,5,3,0,3,0,0,1
P,Daniel Cabrera,28,9,16,11,0,0,0,0,0,0,0,0,2,9,.000,.214,.000,.214,-37,0,0,1,2,0,0,1
P,Collin Balester,23,7,11,8,0,1,0,0,0,0,0,0,1,2,.125,.222,.125,.347,-4,1,0,0,2,0,0,1
P,Tyler Clippard,24,41,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
P,Saul Rivera#,31,30,5,3,2,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,127,1,0,0,1,0,0,1
