Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Howard Battle,26,12,45,39,6,7,4,0,1,5,0,0,4,7,.179,.244,.359,.603,14,0,0,0,2,0,,1,1998,AA,CHW
Juan Bautista,23,120,451,420,46,107,13,1,5,34,6,12,18,98,.255,.290,.326,.616,137,18,4,6,3,1,,0,1998,AA,CHW
Johnny Cardenas,27,17,57,55,3,11,2,0,0,8,0,0,1,8,.200,.214,.236,.451,13,1,0,1,0,0,,0,1998,AA,CHW
Wil Cordero,26,11,42,35,6,10,2,0,2,11,0,0,7,3,.286,.405,.514,.919,18,1,0,0,0,0,,1,1998,AA,CHW
Brian Downs,23,10,44,37,3,11,1,0,0,3,0,0,2,7,.297,.349,.324,.673,12,1,2,1,2,0,,0,1998,AA,CHW
John Finn,30,44,189,146,37,40,6,1,3,15,4,4,34,12,.274,.419,.390,.810,57,3,4,3,2,0,,0,1998,AA,CHW
Manny Gonzalez#,22,102,407,371,51,112,24,2,2,35,9,7,23,52,.302,.348,.394,.742,146,11,4,8,1,0,,0,1998,AA,CHW
Ricky Gonzalez,23,23,84,73,5,16,2,0,0,11,0,0,7,18,.219,.284,.247,.531,18,2,0,3,1,0,,0,1998,AA,CHW
Brad Heller,26,6,12,11,1,4,0,0,0,0,0,0,0,2,.364,.417,.364,.780,4,0,1,0,0,0,,0,1998,AA,CHW
Jeff Inglin,22,139,585,494,75,121,22,6,24,100,3,2,78,101,.245,.347,.460,.807,227,12,4,0,9,3,,0,1998,AA,CHW
Corey Jenkins,21,7,28,26,3,4,1,0,0,1,0,0,2,17,.154,.214,.192,.407,5,0,0,0,0,0,,0,1998,AA,CHW
Mark Johnson*,22,117,494,382,68,108,17,3,9,59,0,1,105,72,.283,.443,.414,.857,158,5,6,0,1,0,,1,1998,AA,CHW
Carlos Lee,22,138,592,549,77,166,33,2,21,106,11,5,39,55,.302,.350,.485,.834,266,32,2,0,2,2,,1,1998,AA,CHW
Jeff Liefer*,23,127,541,471,84,137,33,6,21,89,1,2,60,125,.291,.381,.520,.901,245,9,9,0,1,6,,1,1998,AA,CHW
Brian Manning,23,12,47,43,2,8,1,0,0,2,0,0,2,8,.186,.255,.209,.465,9,2,2,0,0,0,,0,1998,AA,CHW
Sandy McKinnon,25,57,230,200,21,40,8,0,1,18,11,3,19,41,.200,.272,.255,.527,51,1,2,6,3,1,,0,1998,AA,CHW
Sergio Nunez,23,115,487,435,57,106,8,0,1,32,26,7,38,59,.244,.307,.269,.576,117,10,3,8,3,0,,0,1998,AA,CHW
Wil Polidor#,24,31,108,104,8,24,0,0,0,4,0,0,1,15,.231,.252,.231,.483,24,7,2,1,0,0,,0,1998,AA,CHW
Tate Seefried*,26,66,264,231,21,55,14,0,4,36,0,1,32,61,.238,.330,.351,.680,81,4,0,0,1,2,,0,1998,AA,CHW
Demond Smith#,25,84,383,321,75,99,23,7,5,30,25,14,48,67,.308,.404,.470,.874,151,2,6,4,4,1,,0,1998,AA,CHW
Jerry Whittaker,24,57,217,205,21,49,12,2,9,26,3,3,9,65,.239,.273,.449,.722,92,5,1,1,1,0,,0,1998,AA,CHW
