Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Chuck Abbott,23,132,579,525,74,138,21,9,2,62,16,9,38,135,.263,.315,.349,.664,183,18,4,8,4,0,,0,1998,AA,LAA
Larry Barnes*,23,69,278,245,29,67,16,4,6,35,4,2,28,54,.273,.348,.445,.793,109,5,1,2,2,3,,1,1998,AA,LAA
Randy Betten,26,76,241,209,30,48,16,2,2,19,3,2,18,50,.230,.300,.354,.654,74,6,4,8,2,0,,0,1998,AA,LAA
Jamie Burke,26,12,48,41,7,10,1,0,0,4,0,0,7,4,.244,.354,.268,.622,11,4,0,0,0,0,,1,1998,AA,LAA
Danny Buxbaum,25,76,329,297,58,98,19,2,17,53,1,1,28,33,.330,.385,.579,.964,172,8,0,2,2,3,,0,1998,AA,LAA
Eddie Christian#,26,105,454,400,80,133,39,4,5,49,13,11,49,61,.333,.407,.488,.895,195,6,3,0,2,4,,0,1998,AA,LAA
Matt Curtis#,23,113,473,431,53,113,19,5,10,65,2,2,33,72,.262,.313,.399,.712,172,14,1,3,5,1,,0,1998,AA,LAA
Jed Dalton,25,80,307,258,43,76,11,2,4,34,7,5,38,48,.295,.388,.399,.787,103,8,4,3,4,0,,0,1998,AA,LAA
Freddie Diaz#,25,4,14,11,3,2,0,0,0,2,0,0,3,4,.182,.357,.182,.539,2,0,0,0,0,0,,0,1998,AA,LAA
Trent Durrington,22,112,429,351,62,79,10,1,1,30,24,12,50,74,.225,.346,.268,.614,94,5,17,7,4,0,,1,1998,AA,LAA
Angelo Encarnacion,29,28,104,93,9,20,1,0,2,7,0,0,8,11,.215,.284,.290,.575,27,2,1,2,0,0,,1,1998,AA,LAA
Troy Glaus,21,50,230,188,51,58,11,2,19,51,4,2,39,41,.309,.430,.691,1.122,130,4,2,0,1,3,,1,1998,AA,LAA
Bryan Graves,23,29,105,85,8,19,3,0,1,6,0,1,16,18,.224,.356,.294,.650,25,5,2,1,1,0,,0,1998,AA,LAA
Jason Herrick*,24,71,301,274,61,91,20,7,18,73,5,5,20,75,.332,.377,.653,1.030,179,1,2,1,4,2,,0,1998,AA,LAA
Norm Hutchins#,22,89,413,394,74,123,20,10,10,50,32,10,14,84,.312,.341,.490,.831,193,8,4,0,1,0,,0,1998,AA,LAA
Keith Luuloa,23,130,579,479,85,160,43,10,17,102,6,5,75,54,.334,.419,.572,.991,274,15,7,2,16,5,,1,1998,AA,LAA
Bengie Molina,23,41,172,154,28,55,8,0,9,39,0,1,14,7,.357,.419,.584,1.003,90,7,3,0,1,2,,1,1998,AA,LAA
Greg Morris,26,31,133,106,13,29,6,1,2,12,1,0,22,14,.274,.414,.406,.819,43,1,4,0,1,0,,0,1998,AA,LAA
Chris Norton,27,17,70,60,10,19,1,0,4,12,0,0,9,23,.317,.414,.533,.948,32,1,1,0,0,0,,0,1998,AA,LAA
Charlie O'Brien,38,5,19,17,1,2,0,0,0,2,1,0,2,4,.118,.211,.118,.328,2,0,0,0,0,1,,1,1998,AA,LAA
Marcus Sturdivant*,24,17,71,68,7,17,5,0,0,8,2,1,2,8,.250,.271,.324,.595,22,2,0,1,0,0,,0,1998,AA,LAA
Jerrey Thurston,26,29,106,95,20,30,4,0,2,22,0,0,8,24,.316,.377,.421,.798,40,2,2,0,1,0,,0,1998,AA,LAA
Lee Tinsley#,29,11,44,42,2,11,4,1,0,5,3,1,2,7,.262,.295,.405,.700,17,0,0,0,0,0,,1,1998,AA,LAA
Gar Vallone#,25,2,6,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,1,0,0,0,0,0,,0,1998,AA,LAA
Shawn Wooten,25,8,31,28,3,9,4,0,1,6,0,0,3,4,.321,.387,.571,.959,16,0,0,0,0,0,,1,1998,AA,LAA
