Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Junior Betances,25,76,298,269,41,76,10,5,6,31,11,2,25,54,.283,.348,.424,.772,114,4,2,2,0,1,,0,1998,AA,CLE
Todd Betts*,25,91,388,318,55,86,18,3,17,46,1,0,64,71,.270,.397,.506,.903,161,7,4,0,2,5,,0,1998,AA,CLE
Russell Branyan*,22,43,199,163,35,48,11,3,16,46,1,1,35,58,.294,.417,.693,1.110,113,2,0,0,1,4,,1,1998,AA,CLE
Mark Budzinski*,24,127,535,478,68,125,21,5,10,62,12,8,50,125,.262,.331,.389,.721,186,9,1,4,2,2,,1,1998,AA,CLE
Rafael Gross,23,25,68,58,6,4,0,0,0,3,4,3,6,21,.069,.179,.069,.248,4,0,2,1,1,0,,0,1998,AA,CLE
Ricky Gutierrez,28,12,36,31,6,6,1,0,0,2,0,0,5,4,.194,.306,.226,.531,7,1,0,0,0,0,,0,1998,AA,CLE
Robin Harriss,26,15,56,45,3,5,2,0,0,2,1,0,9,21,.111,.259,.156,.415,7,2,0,2,0,1,,0,1998,AA,CLE
Heath Hayes,26,91,360,329,36,68,14,1,11,46,2,3,24,95,.207,.263,.356,.618,117,7,2,2,3,1,,0,1998,AA,CLE
Mike Huelsmann#,23,9,26,20,4,2,0,0,1,1,1,0,4,9,.100,.280,.250,.530,5,0,1,1,0,0,,0,1998,AA,CLE
John McDonald,23,132,580,514,68,118,18,2,2,43,17,6,43,61,.230,.293,.284,.578,146,7,6,11,6,0,,1,1998,AA,CLE
Scott Morgan,24,119,524,456,95,134,31,4,25,89,4,5,56,124,.294,.378,.544,.922,248,9,8,0,4,1,,0,1998,AA,CLE
Mike Moyle,26,39,153,133,19,40,5,0,4,23,1,0,17,27,.301,.386,.429,.814,57,9,2,0,1,0,,0,1998,AA,CLE
Danny Peoples,23,60,254,222,30,62,19,0,8,32,1,1,29,61,.279,.362,.473,.835,105,7,1,0,2,1,,0,1998,AA,CLE
Chan Perry,25,54,227,203,36,57,17,2,5,27,3,2,23,43,.281,.352,.458,.811,93,2,0,0,1,1,,1,1998,AA,CLE
Peto Ramirez,25,15,62,49,4,9,1,0,2,8,0,0,10,17,.184,.317,.327,.643,16,0,0,2,1,0,,0,1998,AA,CLE
Dave Roberts*,26,56,269,227,49,82,10,5,7,33,28,6,35,30,.361,.447,.542,.989,123,3,1,5,1,5,,1,1998,AA,CLE
Marco Scutaro,22,124,529,462,68,146,27,6,11,62,33,16,47,71,.316,.387,.472,.859,218,8,10,4,6,0,,1,1998,AA,CLE
Bill Selby*,28,20,82,77,15,30,7,1,3,10,0,0,3,11,.390,.415,.623,1.038,48,0,1,0,1,1,,1,1998,AA,CLE
Darren Stumberger,25,139,615,545,83,164,39,2,10,76,1,2,56,79,.301,.366,.435,.801,237,15,5,1,8,0,,0,1998,AA,CLE
Frank Taveras*,22,2,5,4,2,2,0,0,0,0,0,0,1,1,.500,.600,.500,1.100,2,0,0,0,0,0,,0,1998,AA,CLE
Adam Taylor,24,3,12,10,0,2,0,0,0,1,0,0,1,6,.200,.250,.200,.450,2,0,0,0,1,0,,0,1998,AA,CLE
Greg Thomas*,25,64,246,226,34,49,6,3,10,37,2,1,18,75,.217,.280,.403,.683,91,2,2,0,0,1,,0,1998,AA,CLE
Brian Whitlock,23,9,28,26,1,2,1,0,0,2,0,0,1,11,.077,.107,.115,.223,3,0,0,0,1,0,,0,1998,AA,CLE
