Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Chad Alexander,24,128,498,416,77,119,33,2,13,45,6,7,71,80,.286,.394,.469,.863,195,8,5,3,3,0,,0,1998,AA,HOU
Adan Amezcua,24,23,76,73,6,15,2,0,2,6,1,1,3,11,.205,.237,.315,.552,23,3,0,0,0,0,,0,1998,AA,HOU
Lance Berkman#,22,122,517,425,82,130,34,0,24,89,6,4,85,82,.306,.424,.555,.979,236,14,4,0,3,10,,1,1998,AA,HOU
Mike Blais,26,21,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,,0,1998,AA,HOU
Alberto Blanco*,22,12,15,15,3,4,0,0,0,0,0,0,0,7,.267,.267,.267,.533,4,0,0,0,0,0,,0,1998,AA,HOU
Ramon Castro,22,48,185,168,27,43,6,0,8,25,0,1,13,31,.256,.324,.435,.759,73,3,4,0,0,2,,1,1998,AA,HOU
Mike Diorio,25,32,4,3,0,0,0,0,0,1,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,,0,1998,AA,HOU
Jim Duffy,23,12,33,32,1,5,1,0,0,0,0,0,1,9,.156,.182,.188,.369,6,1,0,0,0,0,,0,1998,AA,HOU
Sean Duncan*,25,28,7,4,2,2,0,0,1,3,0,0,3,1,.500,.714,1.250,1.964,5,0,0,0,0,0,,0,1998,AA,HOU
Freddy Garcia,21,19,27,21,1,0,0,0,0,1,0,0,1,9,.000,.043,.000,.043,0,0,0,4,1,0,,1,1998,AA,HOU
Jim Gutierrez,27,8,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,1,0,0,0,0,,0,1998,AA,HOU
Kevin Hodges,25,29,20,15,1,2,1,0,0,1,0,0,0,7,.133,.133,.200,.333,3,0,0,5,0,0,,1,1998,AA,HOU
Chris Hook,29,15,9,5,0,0,0,0,0,0,0,0,2,4,.000,.286,.000,.286,0,0,0,2,0,0,,1,1998,AA,HOU
Ric Johnson,24,23,84,80,5,16,2,0,0,2,0,1,3,9,.200,.238,.225,.463,18,2,1,0,0,0,,0,1998,AA,HOU
Tim Kester,26,55,4,3,1,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,,0,1998,AA,HOU
Pedro Lopez,29,60,205,178,29,51,14,0,9,28,2,0,17,27,.287,.373,.517,.889,92,6,8,1,1,0,,0,1998,AA,HOU
Garry Maddox*,23,25,99,94,20,33,3,2,3,14,3,2,5,20,.351,.384,.521,.905,49,0,0,0,0,0,,0,1998,AA,HOU
Scott Makarewicz,31,33,119,113,17,27,6,0,7,22,0,0,3,16,.239,.271,.478,.749,54,4,2,1,0,1,,0,1998,AA,HOU
Ryan Miller,25,102,318,293,36,90,20,0,3,26,6,4,9,43,.307,.343,.406,.749,119,10,9,3,4,0,,0,1998,AA,HOU
Wade Miller,21,10,10,8,0,2,0,0,0,1,0,0,0,2,.250,.250,.250,.500,2,0,0,2,0,0,,1,1998,AA,HOU
Donovan Mitchell*,28,70,291,265,36,73,7,2,2,27,8,7,21,34,.275,.329,.340,.668,90,9,1,2,2,0,,0,1998,AA,HOU
Tony Mounce*,23,33,24,22,0,1,0,0,0,0,0,0,0,11,.045,.045,.045,.091,1,0,0,2,0,0,,1,1998,AA,HOU
Mike Neal,26,103,386,341,53,111,27,2,17,70,4,4,39,80,.326,.400,.566,.966,193,7,4,1,1,0,,0,1998,AA,HOU
Paul O'Malley,25,29,38,28,4,6,0,0,0,3,0,0,5,13,.214,.333,.214,.548,6,1,0,5,0,0,,0,1998,AA,HOU
Billy Owens#,27,53,174,159,18,42,6,0,6,28,1,1,13,17,.264,.322,.415,.737,66,6,1,0,1,3,,0,1998,AA,HOU
Jhonny Perez,21,130,491,439,65,125,20,0,10,39,22,11,45,72,.285,.353,.399,.751,175,9,1,6,0,4,,0,1998,AA,HOU
Edgar Ramos,23,17,10,10,0,2,0,0,0,0,0,0,0,4,.200,.200,.200,.400,2,0,0,0,0,0,,1,1998,AA,HOU
Oscar Robles*,22,4,7,5,0,1,0,0,0,0,0,0,1,1,.200,.333,.200,.533,1,0,0,1,0,1,,1,1998,AA,HOU
Derek Root*,23,7,10,8,2,2,0,0,0,0,0,0,1,2,.250,.333,.250,.583,2,1,0,1,0,0,,0,1998,AA,HOU
Vic Sanchez,26,117,469,439,65,121,29,1,23,80,4,3,21,100,.276,.312,.503,.815,221,12,4,1,4,1,,0,1998,AA,HOU
Jamie Saylor*,23,122,516,462,80,135,21,6,17,66,15,10,39,91,.292,.352,.474,.826,219,4,5,7,3,1,,0,1998,AA,HOU
Brian Sikorski,23,15,24,21,4,3,1,0,0,0,0,0,1,6,.143,.182,.190,.372,4,1,0,2,0,0,,1,1998,AA,HOU
Joe Slusarski,31,9,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,0,0,1,0,0,0,,1,1998,AA,HOU
Eric Smith,24,6,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,,0,1998,AA,HOU
Gary Trammell*,25,110,338,315,42,79,9,3,4,24,4,5,22,49,.251,.300,.337,.636,106,3,0,1,0,2,,0,1998,AA,HOU
Chris Truby,24,80,337,308,46,89,20,5,16,63,8,3,20,50,.289,.335,.542,.878,167,5,4,0,5,0,,1,1998,AA,HOU
Kent Wallace*,27,29,5,3,1,0,0,0,0,0,0,0,2,3,.000,.400,.000,.400,0,0,0,0,0,0,,0,1998,AA,HOU
Mike Walter,23,38,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,AA,HOU
