Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Carlos Adolfo,22,40,144,130,10,25,5,0,2,16,3,0,9,33,.192,.245,.277,.522,36,4,1,1,3,1,,0,1998,AA,WSN
Ed Bady#,25,58,141,123,19,31,4,1,0,2,10,2,15,30,.252,.333,.301,.634,37,1,0,3,0,0,,0,1998,AA,WSN
Jason Baker,23,25,13,10,1,3,0,0,1,1,0,0,1,1,.300,.364,.600,.964,6,0,0,2,0,0,,0,1998,AA,WSN
Michael Barrett,21,120,488,453,78,145,32,2,19,87,7,6,27,43,.320,.358,.525,.883,238,16,2,2,4,5,,1,1998,AA,WSN
Jake Benz*,26,17,4,4,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,AA,WSN
Peter Bergeron*,20,34,153,134,22,33,8,4,0,9,8,3,17,26,.246,.331,.366,.697,49,0,0,2,0,0,,1,1998,AA,WSN
Geoff Blum#,25,39,162,139,25,43,12,3,6,21,2,1,17,24,.309,.400,.568,.968,79,3,4,2,0,0,,1,1998,AA,WSN
Hiram Bocachica,22,80,331,296,39,78,18,4,4,27,20,8,21,61,.264,.334,.392,.726,116,1,11,2,1,2,,1,1998,AA,WSN
Jason Camilli,22,6,21,18,1,2,0,0,0,1,0,0,3,5,.111,.238,.111,.349,2,0,0,0,0,0,,0,1998,AA,WSN
Jesus Campos,24,83,285,263,23,68,11,0,4,30,13,3,7,18,.259,.275,.346,.621,91,9,1,9,5,0,,0,1998,AA,WSN
Jamey Carroll,24,75,312,261,43,66,11,3,0,20,11,5,41,29,.253,.365,.318,.683,83,4,5,5,0,0,,1,1998,AA,WSN
Jhonny Carvajal,24,112,387,338,37,88,12,4,0,21,4,6,34,69,.260,.338,.320,.657,108,12,6,8,1,5,,0,1998,AA,WSN
Jason Cole,25,22,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,,0,1998,AA,WSN
Trace Coquillette,24,49,209,187,40,62,10,0,9,23,10,3,15,41,.332,.397,.529,.927,99,2,6,0,1,0,,1,1998,AA,WSN
Tim Dixon*,26,37,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,AA,WSN
Jayson Durocher,23,10,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,,1,1998,AA,WSN
Keith Evans,22,20,11,10,0,1,0,0,0,0,0,0,0,3,.100,.100,.100,.200,1,0,0,1,0,0,,0,1998,AA,WSN
Jose Fernandez,23,104,420,369,59,109,27,1,17,58,16,6,36,73,.295,.368,.512,.880,189,3,9,1,5,3,,1,1998,AA,WSN
Scott Forster,26,25,10,7,0,0,0,0,0,1,0,0,1,4,.000,.125,.000,.125,0,0,0,2,0,0,,1,1998,AA,WSN
Mike Johnson*,22,7,6,5,1,0,0,0,0,0,0,0,0,1,.000,.167,.000,.167,0,0,1,0,0,0,,1,1998,AA,WSN
Ramiro Martinez*,26,10,4,4,1,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,1,0,0,0,0,0,,0,1998,AA,WSN
Jason McCommon,26,6,2,2,2,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,4,0,0,0,0,0,,0,1998,AA,WSN
Scott Mitchell,25,32,21,19,1,3,0,0,0,1,0,0,1,5,.158,.200,.158,.358,3,0,0,1,0,0,,0,1998,AA,WSN
