Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Andy Barkett*,25,43,186,157,23,42,11,1,2,31,0,0,27,22,.268,.376,.389,.765,61,2,1,0,1,0,,1,1998,AA,TEX
Cliff Brumbaugh,24,132,549,483,65,125,34,1,15,76,1,3,54,77,.259,.335,.427,.762,206,12,4,3,5,5,,1,1998,AA,TEX
Sean Collins,31,11,36,29,3,4,1,0,0,1,0,0,6,8,.138,.286,.172,.458,5,1,0,1,0,0,,0,1998,AA,TEX
Jason Conti*,23,130,605,530,125,167,31,12,15,67,19,13,63,96,.315,.396,.504,.899,267,5,9,1,2,4,,1,1998,AA,TEX
Chris Demetral*,28,45,183,147,22,40,9,3,4,18,2,3,33,24,.272,.409,.456,.865,67,4,1,2,0,0,,0,1998,AA,TEX
Kelly Dransfeldt,23,58,249,226,43,57,15,4,9,36,8,1,18,79,.252,.309,.473,.783,107,4,2,0,3,0,,1,1998,AA,TEX
Jason Goligoski*,26,65,228,202,21,44,4,2,0,10,0,2,21,44,.218,.300,.257,.557,52,3,3,1,1,0,,0,1998,AA,TEX
Joe Goodwin,24,10,34,31,3,3,1,0,0,3,0,0,1,7,.097,.147,.129,.276,4,2,1,0,1,0,,0,1998,AA,TEX
Cesar King,20,90,357,316,40,70,16,2,3,39,1,1,30,68,.222,.288,.313,.601,99,10,2,3,6,2,,0,1998,AA,TEX
Ramsey Koeyers,23,55,181,164,25,41,2,0,4,18,1,0,13,45,.250,.320,.335,.656,55,8,4,0,0,1,,0,1998,AA,TEX
Ruben Mateo,20,107,485,433,79,134,32,3,18,75,18,8,30,56,.309,.371,.522,.893,226,7,15,3,4,1,,1,1998,AA,TEX
Warren Morris*,24,95,440,390,59,129,22,5,14,73,12,7,43,63,.331,.401,.521,.921,203,11,4,1,2,2,,1,1998,AA,TEX
Chad Mottola,26,8,36,26,9,13,1,0,1,7,3,0,10,1,.500,.639,.654,1.293,17,0,0,0,0,1,,1,1998,AA,TEX
Mike Murphy,26,58,227,196,26,49,8,2,4,22,6,2,27,56,.250,.344,.372,.716,73,8,2,0,2,1,,0,1998,AA,TEX
Doug O'Neill,28,18,78,68,10,15,5,0,2,5,4,0,10,16,.221,.321,.382,.703,26,2,0,0,0,0,,0,1998,AA,TEX
Scott Podsednik*,22,17,81,75,9,18,4,1,0,4,5,2,6,11,.240,.296,.320,.616,24,3,0,0,0,0,,1,1998,AA,TEX
Rowan Richards,24,34,143,126,23,28,4,0,6,23,0,1,12,25,.222,.301,.397,.698,50,6,3,0,2,0,,0,1998,AA,TEX
Rob Sasser,23,111,485,417,57,117,25,2,8,62,18,12,60,98,.281,.372,.408,.780,170,11,3,1,4,0,,1,1998,AA,TEX
Tom Sergio*,23,11,43,39,7,10,1,1,0,0,0,0,4,1,.256,.326,.333,.659,13,0,0,0,0,0,,0,1998,AA,TEX
Jason Smiga,25,2,6,6,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,AA,TEX
Junior Spivey,23,34,152,119,26,37,10,1,3,16,8,4,28,25,.311,.450,.487,.938,58,1,3,1,1,1,,1,1998,AA,TEX
Andrew Vessel,23,106,443,408,42,97,23,0,8,49,5,5,22,63,.238,.290,.353,.643,144,12,9,1,3,3,,0,1998,AA,TEX
Mike Zywica,23,58,242,214,40,60,15,4,5,45,7,3,19,56,.280,.347,.458,.805,98,3,5,0,4,0,,0,1998,AA,TEX
