Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Kelvin Alarcon#,20,12,54,46,12,21,2,1,0,8,6,0,8,8,.457,.537,.543,1.081,25,0,0,0,0,0,,0
Luis Almanzar,19,25,116,88,20,26,8,1,1,19,4,5,24,25,.295,.435,.443,.878,39,3,0,1,3,0,,0
Jared Alvarez-Lopez,18,17,75,63,12,14,0,0,1,12,1,0,10,24,.222,.324,.270,.594,17,2,0,1,1,0,,0
Michael Cantu,23,13,55,46,6,15,4,0,0,7,0,0,7,10,.326,.418,.413,.831,19,0,1,0,1,0,,0
Jarryd Dale,18,31,123,113,16,34,5,0,0,16,6,1,8,36,.301,.358,.345,.703,39,5,2,0,0,1,,0
Vladimir Echavarria,19,31,121,98,15,27,6,0,0,10,11,4,21,34,.276,.405,.337,.742,33,1,1,0,1,0,,0
Juan Garcia,18,4,4,3,0,1,0,0,0,0,0,0,0,1,.333,.500,.333,.833,1,0,1,0,0,0,,0
Emmanuel Guerra,18,37,128,117,17,31,5,3,3,11,2,1,11,55,.265,.328,.436,.764,51,1,0,0,0,0,,0
Cristian Heredia,18,43,189,166,21,44,10,0,5,35,0,0,20,42,.265,.349,.416,.765,69,6,2,0,1,0,,0
Pierce Jones,18,22,74,66,14,9,2,0,0,5,3,1,7,33,.136,.230,.167,.396,11,0,1,0,0,0,,0
Taylor Lomack,19,39,153,137,30,47,3,3,0,14,11,1,15,30,.343,.405,.409,.814,56,1,0,0,1,0,,0
Anthony Nunez#,17,38,143,117,13,26,4,1,0,11,3,1,26,41,.222,.364,.274,.637,32,2,0,0,0,0,,0
Junior Perez,17,51,238,209,44,56,14,2,11,39,11,2,24,59,.268,.349,.512,.861,107,3,3,0,2,2,,0
Ripken Reyes#,22,42,200,165,39,52,10,3,1,20,15,3,16,21,.315,.419,.430,.849,71,3,15,2,2,0,,0
Yeison Santana,18,41,192,162,38,56,5,5,3,30,4,5,23,38,.346,.429,.494,.923,80,3,3,1,3,1,,0
Ethan Skender,22,14,59,52,15,20,2,2,3,15,3,3,5,9,.385,.441,.673,1.114,35,0,1,0,1,0,,0
Angel Solarte,18,53,241,214,37,53,9,3,4,41,5,2,18,45,.248,.307,.374,.681,80,3,3,0,6,1,,0
Gilberto Vizcarra,20,33,134,116,20,35,6,1,0,11,2,0,13,17,.302,.381,.371,.751,43,4,3,0,2,1,,0
18 Players,18.7,56,2299,1978,369,567,95,25,32,304,87,29,256,528,.287,.374,.408,.783,808,37,36,5,24,6,,0
