Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Francisco Alvarez,17,35,151,131,24,37,6,0,5,16,1,1,17,33,.282,.377,.443,.820,58,0,3,0,0,0,,0
Wilfred Astudillo#,19,36,130,120,15,32,2,0,5,18,0,0,8,19,.267,.323,.408,.731,49,5,2,0,0,0,,0
Brett Baty*,19,42,186,158,30,35,12,2,6,22,0,0,24,56,.222,.339,.437,.775,69,4,4,0,0,0,,0
Anderson Bohorquez,21,7,29,28,5,6,2,0,1,2,0,0,1,9,.214,.241,.393,.634,11,1,0,0,0,0,,0
Anthony Dirocie,22,16,70,67,10,21,7,2,2,16,1,2,3,20,.313,.343,.567,.910,38,0,0,0,0,0,,0
Sebastian Espino,19,52,202,187,26,47,7,1,2,12,3,2,12,61,.251,.303,.332,.635,62,2,2,1,0,0,,0
Gregory Guerrero,20,53,218,189,31,42,7,2,6,23,2,0,26,55,.222,.323,.376,.698,71,4,2,1,0,0,,0
Cole Kleszcz,22,44,189,173,26,44,9,4,3,26,0,1,9,56,.254,.307,.405,.712,70,2,5,0,2,0,,0
Angel Manzanarez,22,3,12,12,0,3,0,0,0,0,1,0,0,2,.250,.250,.250,.500,3,1,0,0,0,0,,0
Tanner Murphy,21,40,155,134,21,27,3,1,5,15,2,1,18,57,.201,.310,.351,.660,47,1,3,0,0,0,,0
Matt O'Neill,21,8,29,26,3,6,0,1,0,2,0,0,2,7,.231,.310,.308,.618,8,0,1,0,0,0,,0
Scott Ota*,21,51,211,183,30,50,14,5,7,26,0,1,21,38,.273,.355,.519,.875,95,1,4,0,3,1,,0
Jaylen Palmer,18,62,276,242,41,63,12,2,7,28,1,3,31,108,.260,.344,.413,.757,100,2,1,0,2,0,,0
Cristopher Pujols,21,58,228,206,20,54,8,1,3,29,3,3,16,46,.262,.320,.354,.675,73,4,3,0,3,0,,0
Andres Regnault,20,44,192,178,26,52,11,0,8,49,0,2,8,36,.292,.328,.489,.817,87,4,3,0,3,0,,0
Jhoander Saez#,21,30,118,108,14,29,6,1,0,8,6,4,9,26,.269,.325,.343,.667,37,0,0,1,0,0,,0
Kennie Taylor,22,29,133,121,16,34,3,2,2,10,4,2,6,25,.281,.318,.388,.707,47,1,2,1,3,0,,0
Zak Whalin,24,2,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,0,0,0,0,0,0,,0
L.A. Woodard#,22,18,71,59,10,11,1,0,0,4,4,0,9,19,.186,.304,.203,.508,12,1,1,2,0,0,,0
19 Players,20.1,68,2602,2323,348,593,110,24,62,306,28,22,221,673,.255,.327,.403,.731,937,33,36,6,16,1,,0
