Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Humberto Aliendo,20,45,164,152,17,32,9,1,2,15,1,0,11,45,.211,.268,.322,.591,49,2,1,0,0,0,,0
Avelino Asprilla,20,56,199,183,28,47,9,2,1,20,9,3,7,36,.257,.285,.344,.629,63,0,1,6,2,0,,0
Jose Bautista,20,62,247,220,43,63,10,3,5,30,8,1,21,41,.286,.364,.427,.792,94,5,6,0,0,0,,1
Adrian Brown#,27,4,19,18,4,6,0,1,0,4,2,0,1,2,.333,.368,.444,.813,8,0,0,0,0,0,,1
Yoelmis Cabrera,19,42,138,127,12,23,5,1,1,12,5,5,7,27,.181,.228,.260,.488,33,3,1,2,1,0,,0
Travis Chapman,20,17,59,55,6,16,3,1,0,4,0,1,1,9,.291,.322,.382,.704,21,0,2,0,1,0,,0
Jorge Cortes*,20,51,210,189,23,48,17,1,2,31,2,2,20,25,.254,.329,.386,.715,73,5,1,0,0,2,,0
Alex Cruz,20,26,91,83,9,15,1,1,0,11,1,0,4,14,.181,.213,.217,.430,18,1,0,2,2,0,,0
Rajai Davis,20,6,14,12,1,1,0,0,0,0,0,1,2,4,.083,.214,.083,.298,1,0,0,0,0,0,,1
Miguel De La Cruz,21,42,153,131,19,27,9,2,0,15,1,2,18,33,.206,.303,.305,.608,40,2,1,1,2,0,,0
Chris Duffy*,21,64,277,221,50,70,12,4,1,24,30,5,33,33,.317,.440,.421,.860,93,0,17,4,2,1,,1
Josh Hudnall,21,40,137,124,17,35,4,3,0,16,17,2,7,31,.282,.338,.363,.701,45,3,4,1,1,0,,0
Matt Meath#,21,32,133,102,22,33,5,2,1,8,13,3,21,24,.324,.446,.441,.887,45,0,4,3,3,0,,0
Victor Mercedes#,22,62,256,230,35,64,9,2,6,30,28,6,16,40,.278,.328,.413,.741,95,3,1,9,0,1,,0
Jon Myler,21,23,86,74,6,14,5,0,1,8,0,0,10,20,.189,.286,.297,.583,22,1,0,2,0,1,,0
Zack Riera#,22,2,8,4,3,2,0,0,0,0,1,1,4,0,.500,.750,.500,1.250,2,0,0,0,0,0,,0
Chris Shelton,21,50,213,174,22,53,11,0,2,33,4,1,33,31,.305,.415,.402,.817,70,1,2,1,3,1,,1
John Van Benschoten,21,32,86,75,9,17,5,0,0,8,3,2,7,23,.227,.302,.293,.596,22,2,2,0,2,0,,1
Troy Veleber#,22,14,29,26,8,4,1,0,1,2,6,0,1,8,.154,.185,.308,.493,8,0,0,2,0,0,,0
Walter Young*,21,66,258,232,40,67,10,1,13,47,1,1,19,43,.289,.353,.509,.861,118,6,5,0,2,5,,1
20 Players,20.7,74,2777,2432,374,637,125,25,36,318,132,36,243,489,.262,.338,.378,.716,920,34,48,33,21,11,,0
