Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Clayton Kershaw*,23,21,5,.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,161,2.47,0.977,6.7,0.6,2.1,9.6,4.59,1
SP,Hiroki Kuroda,36,13,16,.448,3.07,32,32,0,0,0,0,202.0,196,77,69,24,49,6,161,5,1,12,838,120,3.78,1.213,8.7,1.1,2.2,7.2,3.29,1
SP,Ted Lilly*,35,12,14,.462,3.97,33,33,0,0,0,0,192.2,172,88,85,28,51,8,158,9,2,2,800,93,4.21,1.157,8.0,1.3,2.4,7.4,3.10,1
SP,Chad Billingsley,26,11,11,.500,4.21,32,32,0,1,0,0,188.0,189,98,88,14,84,4,152,7,0,5,829,87,3.83,1.452,9.0,0.7,4.0,7.3,1.81,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Javy Guerra,25,2,2,.500,2.31,47,0,38,0,0,21,46.2,37,12,12,2,18,1,38,3,0,2,195,160,3.30,1.179,7.1,0.4,3.5,7.3,2.11,1
RP,Matt Guerrier,32,4,3,.571,4.07,70,0,12,0,0,1,66.1,59,31,30,4,25,5,50,0,0,2,282,91,3.43,1.266,8.0,0.5,3.4,6.8,2.00,1
RP,Mike MacDougal,34,3,1,.750,2.05,69,0,14,0,0,1,57.0,54,16,13,3,29,3,41,3,0,3,247,180,3.95,1.456,8.5,0.5,4.6,6.5,1.41,1
RP,Kenley Jansen,23,2,1,.667,2.85,51,0,13,0,0,5,53.2,30,17,17,3,26,0,96,2,2,0,218,130,1.74,1.043,5.0,0.5,4.4,16.1,3.69,1
RP,Blake Hawksworth,28,2,5,.286,4.08,49,0,12,0,0,0,53.0,45,29,24,6,17,3,43,0,0,5,219,91,3.84,1.170,7.6,1.0,2.9,7.3,2.53,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rubby De La Rosa,22,4,5,.444,3.71,13,10,2,0,0,0,60.2,54,26,25,6,31,3,60,0,0,3,254,100,3.87,1.401,8.0,0.9,4.6,8.9,1.94,1
,Jon Garland,31,1,5,.167,4.33,9,9,0,1,0,0,54.0,55,26,26,6,20,0,28,2,1,0,230,85,4.65,1.389,9.2,1.0,3.3,4.7,1.40,1
,Nathan Eovaldi,21,1,2,.333,3.63,10,6,1,0,0,0,34.2,28,14,14,2,20,0,23,2,0,0,146,102,4.35,1.385,7.3,0.5,5.2,6.0,1.15,1
,Scott Elbert*,25,0,1,.000,2.43,47,0,11,0,0,2,33.1,27,9,9,1,14,4,34,1,0,2,139,153,2.73,1.230,7.3,0.3,3.8,9.2,2.43,1
,Dana Eveland*,27,3,2,.600,3.03,5,5,0,0,0,0,29.2,28,10,10,1,6,0,16,2,0,0,118,123,3.19,1.146,8.5,0.3,1.8,4.9,2.67,1
,Josh Lindblom,24,1,0,1.000,2.73,27,0,8,0,0,0,29.2,21,9,9,0,10,3,28,2,0,3,116,136,2.35,1.045,6.4,0.0,3.0,8.5,2.80,1
,Hung-Chih Kuo*,29,1,2,.333,9.00,40,0,5,0,0,0,27.0,24,29,27,4,23,2,36,2,0,2,127,41,5.06,1.741,8.0,1.3,7.7,12.0,1.57,1
,Ramon Troncoso,28,0,0,,6.75,18,0,13,0,0,0,22.2,38,18,17,5,4,1,14,0,0,2,103,55,5.19,1.853,15.1,2.0,1.6,5.6,3.50,1
,Lance Cormier,30,0,1,.000,9.88,9,0,8,0,0,0,13.2,22,17,15,4,5,0,7,0,0,2,70,38,6.90,1.976,14.5,2.6,3.3,4.6,1.40,1
,John Ely,25,0,1,.000,4.26,5,1,1,0,0,0,12.2,12,6,6,2,7,1,13,0,0,0,56,89,4.68,1.500,8.5,1.4,5.0,9.2,1.86,1
,Jonathan Broxton,27,1,2,.333,5.68,14,0,12,0,0,7,12.2,15,10,8,2,9,2,10,0,0,0,62,67,5.63,1.895,10.7,1.4,6.4,7.1,1.11,1
,Vicente Padilla,33,0,0,,4.15,9,0,4,0,0,3,8.2,7,4,4,0,5,0,9,0,0,0,36,93,2.68,1.385,7.3,0.0,5.2,9.3,1.80,1
,Team Totals,28.7,82,79,.509,3.54,161,161,154,7,2,40,1432.0,1287,612,563,132,507,48,1265,43,7,50,5997,104,3.61,1.253,8.1,0.8,3.2,8.0,2.50,1
,Rank in 16 NL teams,,7,10,,5,,,,2,2,12,16 ,2,5,4,6,7,,4,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
