Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Ryan Bundy,21,46,179,153,19,34,5,1,5,17,5,3,18,62,.222,.324,.366,.690,56,0,5,3,0,0,,0,1999,A,TOR
Justin Davies*,22,127,492,396,69,78,6,1,0,23,36,15,86,55,.197,.342,.217,.559,86,7,2,7,1,1,,0,1999,A,TOR
Joe Dusan*,21,69,274,243,26,58,14,0,8,37,3,1,28,82,.239,.321,.395,.716,96,3,2,0,1,0,,0,1999,A,TOR
Ryan Fleming*,23,61,256,227,34,76,9,2,4,35,7,6,23,26,.335,.390,.445,.835,101,4,0,2,4,1,,0,1999,A,TOR
Jay Gibbons*,22,71,330,292,53,89,20,2,16,69,3,0,32,56,.305,.370,.551,.921,161,12,1,0,5,1,,1,1999,A,TOR
Orlando Hudson#,21,132,563,513,66,137,36,6,7,74,8,6,42,85,.267,.322,.402,.724,206,10,2,1,5,3,,1,1999,A,TOR
Mike Kremblas,23,58,196,165,22,34,7,0,0,7,2,0,15,28,.206,.323,.248,.572,41,5,14,1,1,0,,0,1999,A,TOR
Matt Logan*,19,119,493,453,55,110,21,1,9,57,3,2,32,130,.243,.293,.353,.646,160,6,2,2,4,1,,0,1999,A,TOR
Felipe Lopez#,19,134,607,537,87,149,27,4,14,80,21,14,61,157,.277,.351,.421,.772,226,7,3,0,6,0,,1,1999,A,TOR
Jeff Maloney#,22,88,339,305,36,71,17,1,7,37,8,4,26,70,.233,.300,.364,.664,111,6,4,2,2,0,,0,1999,A,TOR
Juan Nieves,22,47,149,130,14,19,3,1,1,14,7,1,12,28,.146,.226,.208,.434,27,3,2,3,2,0,,0,1999,A,TOR
Jorge Nunez,24,133,609,564,116,151,28,11,14,61,51,8,40,103,.268,.317,.431,.748,243,8,2,1,2,1,,0,1999,A,TOR
Tyler Thompson,23,130,530,440,84,115,28,3,17,81,20,3,79,122,.261,.375,.455,.830,200,7,4,2,5,0,,0,1999,A,TOR
Jose Umbria,21,62,214,186,24,54,5,0,3,20,2,2,26,36,.290,.374,.366,.739,68,4,0,0,2,0,,0,1999,A,TOR
Jesse Zepeda#,25,89,271,222,26,50,8,1,5,34,3,0,42,36,.225,.348,.338,.686,75,4,1,4,2,1,,0,1999,A,TOR
