Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB
Andy Burress,21,72,293,270,45,82,24,2,4,32,17,6,17,45,.304,.346,.452,.798,122,4,2,1,3,1,,0
Brian Conley,24,89,316,285,39,65,7,3,2,22,13,8,19,69,.228,.284,.295,.579,84,3,4,6,2,0,,0
Travis Dawkins,20,76,342,305,56,83,10,6,8,32,38,13,35,38,.272,.346,.423,.769,129,5,0,1,1,2,,1
Adam Dunn*,19,93,372,313,62,96,16,2,11,44,21,10,46,64,.307,.409,.476,.885,149,6,10,0,3,3,,1
Dawan Elliott*,22,19,35,30,3,4,0,0,1,6,0,1,4,10,.133,.229,.233,.462,7,0,0,0,1,0,,0
Scott Garrett,25,8,24,20,4,4,1,0,0,1,0,0,3,7,.200,.333,.250,.583,5,0,1,0,0,0,,0
Tim Godfrey#,21,34,89,77,10,19,2,0,1,7,3,3,9,23,.247,.322,.312,.634,24,1,0,2,1,0,,0
Austin Kearns,19,124,488,426,72,110,36,5,13,48,21,8,50,120,.258,.346,.458,.804,195,9,9,0,3,3,,1
Robbie Kison,22,7,21,15,3,3,0,0,0,1,0,0,4,4,.200,.429,.200,.629,3,0,2,0,0,0,,0
Brandon Larson,23,69,281,250,38,75,18,1,13,52,12,2,25,67,.300,.367,.536,.903,134,7,3,0,3,1,,1
Tony Lawrence,24,10,37,35,2,6,2,0,0,5,0,0,2,12,.171,.216,.229,.445,8,2,0,0,0,0,,0
Blane Layton*,22,34,118,110,19,30,10,3,2,20,4,3,6,27,.273,.305,.473,.778,52,2,0,0,2,0,,0
Thad Markray,19,59,209,180,21,35,6,0,4,22,3,4,21,47,.194,.277,.294,.571,53,6,1,3,4,0,,0
Jim Matan,23,116,442,393,39,100,17,0,10,56,5,6,38,90,.254,.324,.374,.698,147,10,5,0,6,2,,0
Corky Miller,23,66,250,195,43,56,10,1,10,40,3,6,33,42,.287,.438,.503,.940,98,5,20,1,1,1,,1
Antonio Perez,19,119,452,385,69,111,20,3,7,41,35,24,43,80,.288,.376,.410,.787,158,3,13,8,3,0,,1
Corey Price#,22,6,9,9,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,0
Fernando Rios,20,24,94,81,9,23,7,0,0,8,2,3,11,9,.284,.372,.370,.743,30,2,1,0,1,3,,0
Marcos Sanchez#,24,20,61,57,6,14,2,2,1,7,4,1,3,23,.246,.279,.404,.682,23,1,0,0,1,0,,0
D.J. Santiago#,20,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,0
Chris Snusz,26,19,58,53,6,9,1,0,1,2,1,0,3,13,.170,.228,.245,.473,13,1,1,1,0,0,,0
Randy Stegall,24,26,103,99,14,31,4,1,0,18,3,4,3,20,.313,.340,.374,.714,37,3,1,0,0,0,,0
Marc Suarez,23,4,16,13,4,6,1,0,1,1,2,0,3,2,.462,.563,.769,1.332,10,0,0,0,0,0,,0
A.D. Thorpe#,22,7,9,8,3,2,0,0,0,0,1,1,1,0,.250,.333,.250,.583,2,1,0,0,0,0,,0
Eric Welsh*,22,101,394,368,52,103,23,0,16,64,3,2,23,57,.280,.322,.473,.795,174,9,1,0,2,3,,0
Dewayne Wise*,21,131,570,502,70,127,20,13,11,81,35,13,42,81,.253,.312,.410,.722,206,6,7,5,14,2,,1
Ryan Zeber,21,39,117,106,11,27,6,1,0,10,1,5,7,21,.255,.316,.330,.646,35,3,3,0,1,1,,0
