Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Erick Almonte,20,120,491,450,53,94,13,0,6,33,6,2,29,121,.209,.260,.278,.538,125,17,3,7,2,0,,1,1998,A,NYY
Gordie Amerson*,21,4,19,18,2,4,0,0,0,2,0,0,0,1,.222,.263,.222,.485,4,0,1,0,0,0,,0,1998,A,NYY
Brian Aylor*,24,47,147,130,18,31,5,2,5,13,5,1,13,67,.238,.313,.423,.736,55,0,1,3,0,0,,0,1998,A,NYY
Allen Butler*,23,125,528,469,70,126,26,1,19,81,4,3,50,139,.269,.344,.450,.794,211,9,5,2,2,2,,0,1998,A,NYY
Orlando Carey,22,34,87,78,11,10,1,0,0,2,1,1,8,27,.128,.218,.141,.359,11,1,1,0,0,0,,0,1998,A,NYY
John Darjean,22,23,93,84,9,16,2,2,0,8,6,4,6,11,.190,.242,.262,.504,22,0,0,2,1,0,,0,1998,A,NYY
Scott Kidd,24,126,525,468,74,128,30,0,17,58,9,6,44,118,.274,.338,.447,.785,209,10,5,2,6,1,,0,1998,A,NYY
Vernon Maxwell,21,104,463,418,53,98,10,7,5,35,11,2,32,121,.234,.299,.328,.626,137,5,8,1,4,0,,0,1998,A,NYY
Jackson Melian,18,135,520,467,66,119,18,2,8,45,15,12,41,120,.255,.322,.353,.675,165,12,7,1,4,0,,0,1998,A,NYY
Marc Mirizzi#,23,103,412,373,57,104,29,1,11,44,4,5,31,85,.279,.341,.450,.791,168,10,5,1,2,1,,0,1998,A,NYY
Mike Montilla#,24,1,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,A,NYY
Rene Pinto,20,109,408,365,31,83,25,1,0,40,2,5,32,87,.227,.303,.301,.604,110,11,8,2,1,0,,0,1998,A,NYY
Matt Purkiss*,22,55,207,180,20,37,6,0,9,32,0,0,21,77,.206,.291,.389,.680,70,3,2,1,3,0,,0,1998,A,NYY
John Rodriguez*,20,119,479,408,64,103,18,4,10,49,14,3,64,93,.252,.357,.390,.747,159,7,4,0,3,1,,1,1998,A,NYY
Cody Samuel,24,14,57,50,7,10,0,0,1,3,0,1,5,23,.200,.298,.260,.558,13,0,2,0,0,0,,0,1998,A,NYY
Scott Seabol,23,71,229,210,24,60,11,0,7,33,2,2,13,40,.286,.333,.438,.771,92,4,3,1,2,2,,1,1998,A,NYY
Ryan Soules*,22,98,397,332,48,89,16,2,17,54,3,1,58,107,.268,.375,.482,.857,160,5,1,2,4,0,,0,1998,A,NYY
Jeff Staubach,23,2,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,,0,1998,A,NYY
Dennis Twombley,23,40,140,133,13,25,4,0,7,21,1,1,4,45,.188,.216,.376,.592,50,2,1,1,1,0,,0,1998,A,NYY
Dion Washington,21,16,57,50,5,6,0,0,0,5,1,0,6,23,.120,.228,.120,.348,6,0,1,0,0,0,,0,1998,A,NYY
