Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Anthony Brooks,21,133,547,502,74,128,26,4,13,55,17,15,24,164,.255,.299,.400,.700,201,4,10,6,5,0,,0,1998,A,ATL
Mark Burke*,23,65,275,235,47,65,15,0,8,36,2,2,35,36,.277,.367,.443,.810,104,10,1,0,4,0,,0,1998,A,ATL
Troy Cameron#,19,133,550,472,70,105,20,3,21,65,4,3,66,162,.222,.322,.411,.733,194,9,5,3,4,1,,0,1998,A,ATL
Bry Ewan,19,19,69,66,4,14,2,0,1,9,1,0,2,27,.212,.232,.288,.520,19,1,0,0,1,0,,0,1998,A,ATL
Marcus Giles,20,135,603,505,111,166,38,3,37,108,12,5,85,103,.329,.433,.636,1.068,321,15,10,0,3,4,,1,1998,A,ATL
Jason Hairston,22,109,463,413,61,99,21,2,21,76,9,7,32,136,.240,.307,.453,.760,187,6,11,1,6,1,,0,1998,A,ATL
Ryan Lehr,19,115,448,400,60,114,26,1,13,69,1,4,42,67,.285,.357,.453,.810,181,12,4,0,2,0,,0,1998,A,ATL
Mark Mortimer,22,28,114,94,21,28,7,0,5,26,1,0,18,11,.298,.421,.532,.953,50,2,2,0,0,0,,0,1998,A,ATL
Josh Pugh,20,40,151,134,20,31,7,1,0,11,0,0,14,38,.231,.307,.299,.605,40,2,1,1,1,0,,0,1998,A,ATL
Manny Sanchez*,21,13,55,46,5,8,1,1,1,4,1,1,7,5,.174,.291,.304,.595,14,0,1,0,1,0,,0,1998,A,ATL
Stewart Smothers,22,139,572,506,61,103,17,3,9,60,17,12,46,145,.204,.273,.302,.575,153,9,5,7,8,1,,0,1998,A,ATL
Jeff Spencer,21,115,499,437,94,114,21,2,28,79,11,5,47,143,.261,.345,.510,.855,223,5,11,0,4,0,,0,1998,A,ATL
Chad Stevenson,22,32,109,102,9,21,7,0,0,8,0,0,5,26,.206,.248,.275,.522,28,6,1,0,1,0,,0,1998,A,ATL
A.D. Thorpe#,21,128,584,519,94,139,21,4,2,34,21,15,43,70,.268,.336,.335,.671,174,10,13,4,5,0,,0,1998,A,ATL
Steve Torrealba,20,67,239,209,28,57,10,0,10,37,3,0,20,31,.273,.336,.464,.800,97,7,3,1,6,0,,1,1998,A,ATL
Travis Wilson,20,3,13,13,2,6,0,0,1,4,0,0,0,3,.462,.462,.692,1.154,9,0,0,0,0,0,,0,1998,A,ATL
A.J. Zapp*,20,20,83,73,9,19,6,1,3,12,1,0,8,18,.260,.349,.493,.843,36,1,2,0,0,0,,0,1998,A,ATL
