Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Juan Brito,18,63,234,212,16,52,7,0,0,22,2,2,17,41,.245,.305,.278,.583,59,6,2,1,2,0,,1,1998,A,KCR
Joe Caruso,23,120,496,417,73,112,23,7,9,60,24,9,60,61,.269,.374,.422,.796,176,9,13,1,5,1,,0,1998,A,KCR
Gary Coffee,23,83,347,285,52,81,21,7,8,44,5,2,55,91,.284,.403,.491,.895,140,4,4,0,3,2,,0,1998,A,KCR
Joe Dillon,22,73,308,268,37,70,17,2,15,43,9,2,36,57,.261,.349,.507,.856,136,6,0,4,0,1,,1,1998,A,KCR
Dan DiPace*,23,20,64,49,11,13,1,0,1,7,1,0,11,14,.265,.406,.347,.753,17,1,2,0,2,1,,0,1998,A,KCR
Jeremy Hill,20,86,313,288,25,69,12,1,4,37,4,1,15,75,.240,.285,.330,.615,95,8,4,4,2,1,,1,1998,A,KCR
Juan LeBron,21,121,513,442,70,111,26,9,17,84,18,11,57,129,.251,.344,.466,.810,206,11,8,1,5,5,,0,1998,A,KCR
Tony Longueira,23,97,396,357,46,104,21,2,6,49,5,7,25,58,.291,.342,.412,.754,147,8,5,4,5,0,,0,1998,A,KCR
Steve Maas,24,43,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,A,KCR
Steve Medrano#,20,106,393,340,45,88,14,5,0,29,15,3,34,39,.259,.332,.329,.661,112,4,4,13,2,2,,0,1998,A,KCR
Rod Metzler#,23,88,366,323,45,81,17,4,2,34,17,6,36,77,.251,.331,.347,.678,112,2,3,4,0,0,,0,1998,A,KCR
Ricardo Montas,21,51,164,140,21,32,4,1,1,14,4,2,22,28,.229,.337,.293,.630,41,4,1,1,0,2,,0,1998,A,KCR
Rick Pitts,22,85,274,249,33,57,5,4,1,21,22,6,13,62,.229,.271,.293,.565,73,2,3,5,4,1,,0,1998,A,KCR
Vic Radcliff,21,66,291,253,42,66,15,4,5,33,12,5,26,53,.261,.344,.411,.755,104,5,8,0,4,0,,0,1998,A,KCR
Jose Taveras,21,14,60,57,7,16,3,0,1,7,3,1,2,14,.281,.317,.386,.703,22,1,1,0,0,0,,0,1998,A,KCR
Goef Tomlinson*,21,68,318,274,55,78,16,7,7,39,21,6,39,34,.285,.384,.471,.854,129,4,5,0,0,2,,0,1998,A,KCR
Rafael Torres,19,42,152,136,18,37,7,1,1,15,3,2,13,32,.272,.342,.360,.702,49,1,2,0,1,0,,0,1998,A,KCR
Micah Williams,23,77,296,270,43,65,8,4,2,19,33,10,18,55,.241,.300,.322,.623,87,3,5,3,0,0,,0,1998,A,KCR
Dave Willis,23,97,397,374,56,105,30,5,9,50,9,2,17,69,.281,.312,.460,.772,172,10,2,0,4,0,,0,1998,A,KCR
