Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Jered Weaver,26,16,8,.667,3.75,33,33,0,4,2,0,211.0,196,91,88,26,66,3,174,4,0,3,882,117,4.04,1.242,8.4,1.1,2.8,7.4,2.64,1
SP,Joe Saunders*,28,16,7,.696,4.60,31,31,0,1,1,0,186.0,202,102,95,29,64,2,101,6,1,5,805,95,5.17,1.430,9.8,1.4,3.1,4.9,1.58,1
SP,John Lackey,30,11,8,.579,3.83,27,27,0,1,1,0,176.1,177,84,75,17,47,1,139,9,0,6,748,115,3.73,1.270,9.0,0.9,2.4,7.1,2.96,1
SP,Ervin Santana,26,8,8,.500,5.03,24,23,0,2,2,0,139.2,159,83,78,24,47,4,107,10,0,4,614,87,5.02,1.475,10.2,1.5,3.0,6.9,2.28,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Brian Fuentes*,33,1,5,.167,3.93,65,0,57,0,0,48,55.0,53,24,24,6,24,2,46,5,0,1,242,112,4.42,1.400,8.7,1.0,3.9,7.5,1.92,1
RP,Darren Oliver*,38,5,1,.833,2.71,63,1,9,0,0,0,73.0,61,22,22,5,22,8,65,5,0,7,293,162,3.32,1.137,7.5,0.6,2.7,8.0,2.95,1
RP,Jason Bulger,30,6,1,.857,3.56,64,0,20,0,0,1,65.2,46,26,26,7,30,1,68,1,0,5,262,123,3.83,1.157,6.3,1.0,4.1,9.3,2.27,1
RP,Kevin Jepsen,24,6,4,.600,4.94,54,0,13,0,0,1,54.2,63,33,30,2,19,2,48,0,0,6,237,89,2.86,1.500,10.4,0.3,3.1,7.9,2.53,1
RP,Jose Arredondo,25,2,3,.400,6.00,43,0,15,0,0,0,45.0,47,30,30,6,23,2,47,0,1,5,202,73,4.27,1.556,9.4,1.2,4.6,9.4,2.04,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matt Palmer,30,11,2,.846,3.93,40,13,10,1,0,0,121.1,105,55,53,12,55,2,69,4,0,5,505,112,4.70,1.319,7.8,0.9,4.1,5.1,1.25,1
,Shane Loux,29,2,3,.400,5.86,18,6,7,0,0,0,58.1,84,42,38,4,19,0,19,4,0,3,271,75,4.52,1.766,13.0,0.6,2.9,2.9,1.00,1
,Sean O'Sullivan,21,4,2,.667,5.92,12,10,1,0,0,0,51.2,60,34,34,12,16,1,29,1,0,1,227,74,5.98,1.471,10.5,2.1,2.8,5.1,1.81,1
,Justin Speier,35,4,2,.667,5.18,41,0,8,0,0,0,40.0,44,23,23,7,15,2,39,4,0,2,182,85,4.85,1.475,9.9,1.6,3.4,8.8,2.60,1
,Scott Kazmir*,25,2,2,.500,1.73,6,6,0,0,0,0,36.1,28,8,7,1,10,0,26,1,0,3,143,255,2.93,1.046,6.9,0.2,2.5,6.4,2.60,1
,Rafael Rodriguez,24,0,1,.000,5.58,18,0,6,0,0,0,30.2,47,22,19,4,9,1,10,1,0,1,145,79,5.12,1.826,13.8,1.2,2.6,2.9,1.11,1
,Trevor Bell,22,1,2,.333,9.74,8,4,1,0,0,0,20.1,40,25,22,3,11,2,14,0,0,1,110,46,5.26,2.508,17.7,1.3,4.9,6.2,1.27,1
,Rich Thompson,24,0,0,,5.12,13,0,2,0,0,0,19.1,27,11,11,6,7,0,21,1,0,5,92,87,6.20,1.759,12.6,2.8,3.3,9.8,3.00,1
,Scot Shields,33,1,3,.250,6.62,20,0,2,0,0,1,17.2,16,14,13,1,15,0,12,0,0,1,83,67,5.02,1.755,8.2,0.5,7.6,6.1,0.80,1
,Dustin Moseley,27,1,0,1.000,4.30,3,3,0,0,0,0,14.2,20,8,7,3,3,1,8,0,0,0,65,104,5.28,1.568,12.3,1.8,1.8,4.9,2.67,1
,Anthony Ortega,23,0,2,.000,9.24,3,3,0,0,0,0,12.2,19,15,13,4,6,0,7,0,0,0,62,49,7.52,1.974,13.5,2.8,4.3,5.0,1.17,1
,Nick Adenhart,22,0,0,,0.00,1,1,0,0,0,0,6.0,7,0,0,0,3,0,5,0,0,1,27,,2.93,1.667,10.5,0.0,4.5,7.5,1.67,1
,Kelvim Escobar,33,0,1,.000,3.60,1,1,0,0,0,0,5.0,4,2,2,0,4,0,5,1,0,0,23,130,4.10,1.600,7.2,0.0,7.2,9.0,1.25,1
,Robert Mosebach,24,0,0,,7.71,3,0,1,0,0,0,2.1,4,3,2,0,3,0,2,1,0,1,15,65,6.53,3.000,15.4,0.0,11.6,7.7,0.67,1
,Daniel Davidson*,28,0,0,,5.40,4,0,1,0,0,0,1.2,3,1,1,0,3,1,0,0,0,0,11,98,8.50,3.600,16.2,0.0,16.2,0.0,0.00,1
,Fernando Rodriguez Jr.,25,0,0,,27.00,1,0,0,0,0,0,0.2,1,3,2,1,2,0,1,0,0,1,6,25,28.60,4.500,13.5,13.5,27.0,13.5,0.50,1
,Team Totals,28.1,97,65,.599,4.45,162,162,153,9,6,51,1445.0,1513,761,715,180,523,35,1062,58,2,67,6252,99,4.45,1.409,9.4,1.1,3.3,6.6,2.03,1
,Rank in 14 AL teams,,2,13,,9,,,,3,1,1,7 ,11,8,9,7,4,,9,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
