Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Brady Aalbers,21,12,37,34,7,8,0,0,0,3,1,1,1,10,.235,.278,.235,.513,8,0,1,1,0,0,,0,1998,Rookie,CIN
Stan Baston,21,12,42,29,8,11,1,1,0,5,1,0,11,7,.379,.561,.483,1.044,14,1,1,1,0,0,,0,1998,Rookie,CIN
Andrew Beattie#,20,43,168,128,36,32,8,2,4,25,3,0,34,33,.250,.413,.438,.851,56,0,3,1,2,0,,0,1998,Rookie,CIN
Travis Copley*,22,3,13,11,3,2,0,0,2,7,0,0,2,1,.182,.308,.727,1.035,8,0,0,0,0,0,,0,1998,Rookie,CIN
Adam Dunn*,18,34,151,125,26,36,3,1,4,13,4,2,22,23,.288,.404,.424,.828,53,3,3,0,1,1,,1,1998,Rookie,CIN
Tim Godfrey#,20,30,129,110,18,35,4,0,2,21,1,1,14,11,.318,.402,.409,.811,45,1,2,2,1,0,,0,1998,Rookie,CIN
Austin Kearns,18,30,134,108,17,34,9,0,1,14,1,1,23,22,.315,.433,.426,.859,46,4,1,0,2,0,,1,1998,Rookie,CIN
Blane Layton*,21,59,259,221,56,65,20,4,7,39,3,3,33,45,.294,.387,.516,.903,114,6,1,3,1,0,,0,1998,Rookie,CIN
Thad Markray,18,70,291,251,43,59,11,0,2,31,1,2,33,64,.235,.330,.303,.633,76,8,4,0,3,0,,0,1998,Rookie,CIN
Jim Matan,22,74,340,293,61,80,13,1,18,65,0,2,39,66,.273,.365,.509,.873,149,14,5,0,3,1,,0,1998,Rookie,CIN
Corky Miller,22,45,178,129,28,35,8,0,5,24,1,4,24,24,.271,.455,.450,.904,58,2,21,2,2,0,,1,1998,Rookie,CIN
Samone Peters,19,72,297,274,44,80,22,1,13,46,0,1,13,100,.292,.340,.522,.862,143,8,8,0,2,1,,0,1998,Rookie,CIN
Duane Price,22,31,120,102,21,28,2,0,1,14,2,4,14,32,.275,.359,.324,.683,33,0,0,3,1,0,,0,1998,Rookie,CIN
Francisco Rivera*,18,3,13,8,3,3,0,0,0,3,0,0,4,1,.375,.615,.375,.990,3,0,1,0,0,0,,0,1998,Rookie,CIN
Terence Senegal,19,6,17,13,4,4,0,0,0,1,2,0,4,4,.308,.471,.308,.778,4,0,0,0,0,0,,0,1998,Rookie,CIN
Randy Stegall,23,66,302,269,46,85,19,1,5,40,2,1,20,44,.316,.372,.450,.821,121,15,5,6,2,0,,0,1998,Rookie,CIN
Corey Taylor,23,3,11,10,2,2,2,0,0,1,0,0,1,6,.200,.273,.400,.673,4,0,0,0,0,0,,0,1998,Rookie,CIN
Chris Toomey,20,3,7,3,1,0,0,0,0,0,0,0,2,2,.000,.571,.000,.571,0,0,2,0,0,0,,0,1998,Rookie,CIN
Clint Vaughn,21,74,324,289,46,77,18,2,12,61,2,1,26,70,.266,.336,.467,.804,135,12,6,0,3,0,,0,1998,Rookie,CIN
Jacob Wallis,18,32,122,105,14,25,7,0,2,20,1,1,13,29,.238,.328,.362,.690,38,2,2,0,2,0,,0,1998,Rookie,CIN
