Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
John Edwards,20,10,35,34,1,4,1,0,0,3,0,0,1,8,.118,.143,.147,.290,5,0,0,0,0,0,,0,1998,Rookie,MIN
Steve Hacker,23,6,26,24,5,5,0,0,1,3,0,0,2,2,.208,.269,.333,.603,8,0,0,0,0,0,,0,1998,Rookie,MIN
Kareem Johnson,17,39,133,121,19,29,6,1,0,10,2,1,8,26,.240,.301,.306,.607,37,3,3,0,1,0,,0,1998,Rookie,MIN
Ryan Lane,23,18,70,65,9,19,5,1,2,10,2,1,4,13,.292,.333,.492,.826,32,1,0,1,0,0,,0,1998,Rookie,MIN
Aaron Lough,21,38,112,100,4,25,6,0,0,10,1,2,9,22,.250,.313,.310,.623,31,2,1,0,2,0,,0,1998,Rookie,MIN
Ken McCorvey,19,44,129,117,11,26,9,0,1,8,5,0,10,41,.222,.281,.325,.606,38,2,0,1,1,1,,0,1998,Rookie,MIN
Manny Nanita,18,42,143,125,22,29,6,3,0,9,5,2,14,19,.232,.329,.328,.657,41,1,4,0,0,0,,0,1998,Rookie,MIN
Edward Nunez*,18,4,11,11,3,2,0,0,0,1,4,0,0,1,.182,.182,.182,.364,2,0,0,0,0,0,,0,1998,Rookie,MIN
Jon Pridie,18,31,113,106,10,23,6,0,1,15,0,1,6,24,.217,.265,.302,.567,32,7,1,0,0,0,,0,1998,Rookie,MIN
Luis Rodriguez#,18,52,205,180,33,50,11,1,1,15,14,3,22,17,.278,.353,.367,.720,66,4,0,1,2,2,,1,1998,Rookie,MIN
Joel Sajiun,20,36,112,99,12,25,6,1,2,12,1,1,9,33,.253,.339,.394,.733,39,0,4,0,0,0,,0,1998,Rookie,MIN
Ruben Salazar,20,50,176,161,16,40,5,1,3,25,10,3,9,29,.248,.287,.348,.635,56,4,1,2,3,0,,0,1998,Rookie,MIN
Eric Sandberg*,18,35,134,114,17,36,8,0,3,18,4,2,18,17,.316,.418,.465,.883,53,4,2,0,0,2,,0,1998,Rookie,MIN
Allen Shrum,22,42,143,127,17,42,10,0,10,25,3,2,13,27,.331,.406,.646,1.051,82,2,3,0,0,1,,0,1998,Rookie,MIN
DeShawn Southward,20,56,192,165,31,44,5,1,2,24,11,4,21,33,.267,.354,.345,.700,57,2,3,0,3,0,,0,1998,Rookie,MIN
Tony Stevens#,19,52,202,187,30,48,7,1,3,12,3,7,11,19,.257,.303,.353,.656,66,1,2,1,1,0,,0,1998,Rookie,MIN
Franklin Torres,18,50,203,174,32,48,6,0,0,24,15,1,20,29,.276,.353,.310,.664,54,5,3,2,4,0,,0,1998,Rookie,MIN
Tommy Watkins,18,33,84,73,8,16,5,0,0,8,5,0,9,11,.219,.301,.288,.589,21,1,0,1,1,0,,1,1998,Rookie,MIN
