Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Mark Carroll,19,31,111,89,13,16,5,1,0,5,1,0,18,24,.180,.315,.258,.574,23,4,1,0,3,0,,0,1998,Rookie,SEA
Ruben Castillo,19,26,87,75,8,16,0,0,0,6,2,1,10,23,.213,.306,.213,.519,16,1,0,2,0,0,,0,1998,Rookie,SEA
Jamie Clark*,19,32,102,81,14,18,3,2,0,13,2,0,19,30,.222,.366,.309,.675,25,1,0,1,1,0,,0,1998,Rookie,SEA
Schuyler Doakes#,21,39,152,136,24,42,8,2,0,12,10,7,10,23,.309,.367,.397,.764,54,1,3,2,1,0,,0,1998,Rookie,SEA
Ariel Durango#,19,24,79,67,16,18,3,1,2,10,7,5,6,18,.269,.355,.433,.788,29,0,3,3,0,0,,0,1998,Rookie,SEA
Gorky Estrella,21,50,209,164,31,40,10,2,2,26,8,2,36,50,.244,.397,.366,.763,60,3,7,0,2,1,,0,1998,Rookie,SEA
Alex Fernandez*,17,44,163,151,25,50,11,6,5,31,3,1,9,23,.331,.368,.583,.951,88,3,1,0,2,3,,0,1998,Rookie,SEA
Corey Freeman,18,37,136,122,21,35,2,0,0,15,9,1,9,20,.287,.341,.303,.644,37,1,2,1,2,1,,0,1998,Rookie,SEA
Cip Garcia,19,30,112,98,10,19,6,2,0,11,1,2,12,23,.194,.277,.296,.573,29,4,0,0,2,1,,0,1998,Rookie,SEA
Keith Graffagnini,21,22,89,81,10,19,1,2,0,11,2,0,5,16,.235,.303,.296,.600,24,2,3,0,0,1,,0,1998,Rookie,SEA
Orlando Hernandez,19,31,103,91,8,26,2,1,0,11,3,1,7,26,.286,.353,.330,.683,30,2,3,1,1,1,,0,1998,Rookie,SEA
Mat Kent*,17,27,95,89,5,20,3,0,0,10,0,3,3,23,.225,.263,.258,.522,23,6,2,0,1,1,,0,1998,Rookie,SEA
Orlando Lopez,17,34,107,95,15,23,3,0,0,5,6,4,8,20,.242,.321,.274,.594,26,1,3,1,0,0,,0,1998,Rookie,SEA
Pee Wee Lopez,21,5,16,15,1,5,2,0,0,2,0,0,1,2,.333,.375,.467,.842,7,1,0,0,0,0,,0,1998,Rookie,SEA
Bret Nielsen*,19,40,142,120,16,28,6,5,2,20,5,1,18,58,.233,.333,.417,.750,50,0,1,1,2,2,,0,1998,Rookie,SEA
Pelagio Pena,18,18,48,46,5,14,2,2,0,3,0,1,2,11,.304,.333,.435,.768,20,2,0,0,0,0,,0,1998,Rookie,SEA
Wilfredo Quintana,20,32,125,111,18,30,10,0,3,25,5,1,7,23,.270,.315,.441,.756,49,2,2,1,4,0,,0,1998,Rookie,SEA
Felix Rosario#,18,33,80,73,12,17,1,0,0,7,9,4,2,22,.233,.291,.247,.538,18,0,4,1,0,0,,0,1998,Rookie,SEA
Rafael Soriano,18,32,122,108,17,18,4,0,0,6,5,3,11,34,.167,.250,.204,.454,22,1,1,2,0,1,,1,1998,Rookie,SEA
Jake Underwood,19,11,30,28,2,9,3,2,0,5,0,1,0,8,.321,.367,.571,.938,16,1,2,0,0,0,,0,1998,Rookie,SEA
P.J. Williams,21,16,73,63,18,22,0,0,0,2,13,2,8,9,.349,.431,.349,.780,22,1,1,1,0,2,,0,1998,Rookie,SEA
