Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Wilson Betemit#,16,51,193,173,23,38,8,4,5,16,6,5,20,49,.220,.301,.399,.699,69,1,0,0,0,0,,1,1998,Rookie,ATL
Scott Bronowicz*,22,27,82,78,6,20,6,0,0,6,0,0,3,18,.256,.280,.333,.614,26,1,0,0,1,0,,0,1998,Rookie,ATL
Paul Burke,20,33,91,76,8,13,8,0,1,5,0,1,14,18,.171,.308,.316,.623,24,3,1,0,0,1,,0,1998,Rookie,ATL
Tommy Clark,18,33,103,92,10,12,2,0,1,8,2,1,8,40,.130,.208,.185,.393,17,1,1,2,0,0,,0,1998,Rookie,ATL
Greg Donato,17,19,70,62,6,13,4,0,1,6,1,1,5,17,.210,.275,.323,.598,20,0,1,1,1,0,,0,1998,Rookie,ATL
Daniel Elorduy,22,43,167,152,18,36,8,0,6,20,2,1,6,30,.237,.301,.408,.709,62,1,8,1,0,1,,0,1998,Rookie,ATL
Scott Frawley,20,33,119,108,11,31,11,1,1,12,0,2,9,26,.287,.345,.435,.780,47,4,1,0,1,0,,0,1998,Rookie,ATL
Chris Heffernan*,20,38,92,82,13,23,5,2,1,10,5,3,9,21,.280,.348,.427,.775,35,2,0,0,1,0,,0,1998,Rookie,ATL
Damien Jones*,18,50,204,192,25,52,4,1,1,7,15,7,10,48,.271,.307,.318,.625,61,2,0,2,0,0,,0,1998,Rookie,ATL
Ryan Langerhans*,18,43,168,148,15,41,10,4,2,19,2,5,19,38,.277,.357,.439,.796,65,0,0,0,1,1,,1,1998,Rookie,ATL
Willy Lopez,19,23,65,56,2,10,2,0,0,4,1,1,5,18,.179,.277,.214,.491,12,0,3,0,1,0,,0,1998,Rookie,ATL
Erik McLaughlin,19,19,54,50,1,5,2,0,0,1,1,1,4,26,.100,.167,.140,.307,7,1,0,0,0,1,,0,1998,Rookie,ATL
Alberto Mundo#,20,44,185,169,14,34,4,0,2,17,7,0,13,35,.201,.265,.260,.525,44,1,2,0,1,1,,0,1998,Rookie,ATL
Asdrubal Oropeza,17,35,144,127,18,34,10,1,2,13,4,1,13,27,.268,.354,.409,.764,52,3,4,0,0,0,,0,1998,Rookie,ATL
Carlos Resendez,21,6,16,14,0,3,0,0,0,2,0,0,1,6,.214,.250,.214,.464,3,0,0,0,1,0,,0,1998,Rookie,ATL
Justo Rivas,18,37,134,113,11,21,6,2,0,11,6,3,16,31,.186,.308,.274,.583,31,5,4,1,0,0,,0,1998,Rookie,ATL
Toebius Smith,18,20,56,46,6,7,1,0,0,0,0,2,8,17,.152,.291,.174,.465,8,2,1,1,0,0,,0,1998,Rookie,ATL
Luis Torres#,18,48,184,169,15,41,13,0,1,13,6,7,6,26,.243,.301,.337,.638,57,1,8,1,0,1,,0,1998,Rookie,ATL
