Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,MLB
C,Jorge Posada#,36,144,589,506,91,171,42,1,20,90,2,0,74,98,.338,.426,.543,.970,153,275,18,6,0,3,7,1
1B,Doug Mientkiewicz*,33,72,192,166,26,46,12,0,5,24,0,0,16,23,.277,.349,.440,.789,106,73,3,3,6,1,0,1
2B,Robinson Cano*,24,160,669,617,93,189,41,7,19,97,4,5,39,85,.306,.353,.488,.841,119,301,19,8,1,4,5,1
SS,Derek Jeter,33,156,714,639,102,206,39,4,12,73,15,8,56,100,.322,.388,.452,.840,121,289,21,14,3,2,3,1
3B,Alex Rodriguez,31,158,708,583,143,183,31,0,54,156,24,4,95,120,.314,.422,.645,1.067,176,376,15,21,0,9,11,1
LF,Hideki Matsui*,33,143,634,547,100,156,28,4,25,103,4,2,73,73,.285,.367,.488,.855,123,267,9,3,0,10,2,1
CF,Melky Cabrera#,22,150,612,545,66,149,24,8,8,73,13,5,43,68,.273,.327,.391,.718,88,213,14,5,10,9,0,1
RF,Bobby Abreu*,33,158,699,605,123,171,40,5,16,101,25,8,84,115,.283,.369,.445,.814,113,269,11,3,0,7,0,1
DH,Jason Giambi*,36,83,303,254,31,60,8,0,14,39,1,0,40,66,.236,.356,.433,.790,107,110,1,8,0,1,2,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OF,Johnny Damon*,33,141,605,533,93,144,27,2,12,63,27,3,66,79,.270,.351,.396,.747,96,211,4,2,1,3,1,1
1B,Andy Phillips,30,61,207,185,27,54,7,1,2,25,0,3,12,26,.292,.338,.373,.711,87,69,5,2,6,2,0,1
1B,Miguel Cairo,33,54,121,107,12,27,7,0,0,10,8,1,8,19,.252,.308,.318,.625,65,34,3,1,4,1,1,1
IF,Wilson Betemit#,25,37,92,84,11,19,4,0,4,24,0,0,6,33,.226,.278,.417,.694,80,35,1,0,2,0,0,1
1B,Josh Phelps,29,36,88,80,8,21,2,0,2,12,0,0,6,19,.263,.330,.363,.692,82,29,5,2,0,0,0,1
DH,Shelley Duncan,27,34,83,74,16,19,1,0,7,17,0,0,8,20,.257,.329,.554,.883,127,41,2,0,1,0,0,1
C,Jose Molina,32,29,71,66,9,21,5,0,1,9,0,0,2,13,.318,.333,.439,.773,101,29,1,0,2,1,0,1
C,Wil Nieves,29,26,66,61,6,10,4,0,0,8,0,0,2,9,.164,.190,.230,.420,10,14,3,0,3,0,0,1
OF,Kevin Thompson,27,13,23,21,2,4,3,0,0,2,0,0,2,10,.190,.261,.333,.594,55,7,0,0,0,0,0,1
IF,Alberto Gonzalez,24,12,15,14,3,1,0,0,0,1,0,1,1,1,.071,.133,.071,.205,-44,1,1,0,0,0,0,1
UT,Bronson Sardinha*,24,10,12,9,6,3,0,0,0,2,0,0,2,1,.333,.417,.333,.750,101,3,2,0,0,1,0,1
IF,Chris Basak,28,5,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Andy Pettitte*,35,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
P,Tyler Clippard,22,1,3,2,0,1,1,0,0,0,0,0,0,1,.500,.500,1.000,1.500,282,2,0,0,1,0,0,1
