Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,MLB
SP,Chuck Finley*,35,11,9,.550,3.39,34,34,0,1,1,0,223.1,210,97,84,20,109,1,212,6,0,8,976,140,3.95,1.428,8.5,0.8,4.4,8.5,1.95,1
SP,Omar Olivares,30,9,9,.500,4.03,37,26,6,1,0,0,183.0,189,92,82,19,91,1,112,5,0,5,805,118,4.84,1.530,9.3,0.9,4.5,5.5,1.23,1
SP,Steve Sparks,32,9,4,.692,4.34,22,20,1,0,0,0,128.2,130,66,62,14,58,0,90,5,0,6,562,110,4.62,1.461,9.1,1.0,4.1,6.3,1.55,1
SP,Jason Dickson,25,10,10,.500,6.05,27,18,5,0,0,0,122.0,147,89,82,17,41,1,61,6,0,6,545,79,5.11,1.541,10.8,1.3,3.0,4.5,1.49,1
SP,Ken Hill,32,9,6,.600,4.98,19,19,0,0,0,0,103.0,123,60,57,6,47,0,57,3,0,3,458,96,4.25,1.650,10.7,0.5,4.1,5.0,1.21,1
SP,Jack McDowell,32,5,3,.625,5.09,14,14,0,0,0,0,76.0,96,45,43,11,19,1,45,1,0,2,334,94,4.63,1.513,11.4,1.3,2.3,5.3,2.37,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Troy Percival,28,2,7,.222,3.65,67,0,60,0,0,42,66.2,45,31,27,5,37,4,87,3,0,3,287,131,3.30,1.230,6.1,0.7,5.0,11.7,2.35,1
RP,Shigetoshi Hasegawa,29,8,3,.727,3.14,61,0,20,0,0,5,97.1,86,37,34,14,32,2,73,2,2,5,401,152,4.56,1.212,8.0,1.3,3.0,6.8,2.28,1
RP,Rich DeLucia,33,2,6,.250,4.27,61,0,18,0,0,3,71.2,56,36,34,10,46,5,73,3,1,8,314,112,4.97,1.423,7.0,1.3,5.8,9.2,1.59,1
RP,Pep Harris,25,3,1,.750,4.35,49,0,13,0,0,0,60.0,55,32,29,7,23,4,34,0,0,2,257,110,4.67,1.300,8.3,1.1,3.5,5.1,1.48,1
RP,Mike Holtz*,25,2,2,.500,4.75,53,0,9,0,0,1,30.1,38,16,16,0,15,1,29,1,0,4,137,101,2.81,1.747,11.3,0.0,4.5,8.6,1.93,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allen Watson*,27,6,7,.462,6.04,28,14,4,1,0,0,92.1,122,67,62,12,34,0,64,3,1,6,421,79,4.64,1.690,11.9,1.2,3.3,6.2,1.88,1
,Jarrod Washburn*,23,6,3,.667,4.62,15,11,0,0,0,0,74.0,70,40,38,11,27,1,48,3,0,0,317,103,4.99,1.311,8.5,1.3,3.3,5.8,1.78,1
,Jeff Juden,27,1,3,.250,6.75,8,6,1,0,0,0,40.0,33,32,30,7,18,0,39,2,0,4,172,71,4.96,1.275,7.4,1.6,4.1,8.8,2.17,1
,Greg Cadaret*,36,1,2,.333,4.14,39,0,11,0,0,1,37.0,38,17,17,6,15,0,37,3,0,5,167,116,4.71,1.432,9.2,1.5,3.6,9.0,2.47,1
,Mike James,30,0,0,,1.93,11,0,3,0,0,0,14.0,10,3,3,0,7,0,12,0,0,0,55,252,2.92,1.214,6.4,0.0,4.5,7.7,1.71,1
,Mike Fetters,33,1,2,.333,5.56,12,0,6,0,0,0,11.1,14,8,7,2,4,0,9,0,0,3,50,88,4.90,1.588,11.1,1.6,3.2,7.1,2.25,1
,Trevor Wilson*,32,0,0,,3.52,15,0,2,0,0,0,7.2,8,4,3,0,5,2,6,1,0,0,37,141,3.92,1.696,9.4,0.0,5.9,7.0,1.20,1
,Rich Robertson*,29,0,0,,15.88,5,0,0,0,0,0,5.2,11,11,10,3,2,0,3,0,0,0,31,32,10.02,2.294,17.5,4.8,3.2,4.8,1.50,1
,Team Totals,30.0,85,77,.525,4.49,162,162,159,3,1,52,1444.0,1481,783,720,164,630,23,1091,47,4,70,6326,106,4.51,1.462,9.2,1.0,3.9,6.8,1.73,1
,Rank in 14 AL teams,,6,9,,6,,,,14,9,2,6 ,5,6,5,2,13,,3,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
